PLACENAME,X,Y,OBJECTID
ACTON,305600,341200,1
AGHADOWEY,285900,420900,2
AGHALEE,312300,365000,3
AGIVEY,289900,422900,4
AHOGHILL,305000,401700,5
ANNACLONE,318000,341300,6
ANNACLOY,344700,348400,7
ANNADORN,343200,344700,8
ANNAHILT,329600,356200,9
ANNALONG,337500,319700,10
ANNSBOROUGH,335500,337000,11
ANTRIM,315300,387000,12
ARDGLASS,355900,337400,13
ARMAGH,287600,345500,14
ARMOY,306700,432800,15
ARTICLAVE,278400,433900,16
ARTIGARVAN,238100,401100,17
ATTICAL,327900,319500,18
AUGHER,256400,353600,19
AUGHNACLOY,266500,352300,20
BAILEYSMILL,332400,358600,21
BALLINAMALLARD,226400,352800,22
BALLINTOY,304400,444500,23
BALLYBOGY,292100,432400,24
BALLYCARRY,344700,394900,25
BALLYCASTLE,311500,440700,26
BALLYCLARE,328700,391200,27
BALLYGALLEY,337400,407700,28
BALLYGAWLEY,263100,357500,29
BALLYGOWAN,343100,363800,30
BALLYHALBERT,364600,363700,31
BALLYHORNAN,359200,342000,32
BALLYKELLY,262700,422200,33
BALLYLUMFORD,342600,402000,34
BALLYMAGORRY,236700,401400,35
BALLYMARTIN,334300,316600,36
BALLYMENA,310700,403400,37
BALLYMONEY,294900,425800,38
BALLYNAHINCH,336600,352300,39
BALLYRONAN,294600,385500,40
BALLYRONEY,322100,337700,41
BALLYSKEAGH,329200,366900,42
BALLYWALTER,362800,369000,43
BALLYWARD,327600,338300,44
BALNAMORE,291800,425000,45
BANBRIDGE,312700,346200,46
BANGOR,350500,381600,47
BELCOO,280500,338700,48
BELFAST,333800,374000,49
BELLAGHY,295300,396600,50
BELLANALECK,223400,338600,51
BELLEEK,298800,327200,52
BELLEEK,194000,359000,53
BELTOY,341600,394800,54
BENBURB,281500,352300,55
BENDOORAGH,292700,423300,56
BERAGH,254400,367200,57
BESSBROOK,304700,328600,58
BISHOPS COURT,356000,342800,59
BLACKWATERTOWN,284300,352400,60
BOARDMILLS,335300,359500,61
BOHO,212600,344400,62
BOLEA,271400,425700,63
BOVEDY,289200,411700,64
BOVEVAGH,266800,414000,65
BROOKEBOROUGH,238700,340800,66
BROUGHSHANE,315200,406600,67
BUCKNA,320800,407400,68
BURREN,313700,321800,69
BUSHMILLS,294100,440600,70
CALEDON,275700,345300,71
CAMLOUGH,303800,326900,72
CAPPAGH,269600,366500,73
CARNAGH,283100,329200,74
CARNCASTLE,335900,407500,75
CARNLOUGH,328600,417900,76
CARNMONEY,332200,383700,77
CARRICKFERGUS,341300,387400,78
CARRICKMORE,261500,372500,79
CARRIGANS,236700,411700,80
CARROWDORE,358100,372500,81
CARRYDUFF,336500,365200,82
CASTLECAULFIELD,275300,362700,83
CASTLEDAWSON,292800,393100,84
CASTLEDERG,226400,384600,85
CASTLEROCK,277200,436100,86
CASTLEWELLAN,334000,336100,87
CHARLEMONT,285300,355700,88
CLADY,325700,378700,89
CLADY,229500,394000,90
CLARE,301100,343000,91
CLAUDY,254200,407500,92
CLOGH MILLS,306800,418200,93
CLOGH,309600,414600,94
CLOGHER,253800,351700,95
CLOGHY,363600,356300,96
CLONFEACLE,283800,352200,97
CLOUGH,340900,340100,98
COAGH,289200,378600,99
COALISLAND,284000,366600,100
COLERAINE,284700,432400,101
COMBER,345900,369300,102
CONLIG,350000,377900,103
COOKSTOWN,281000,378000,104
CORKEY,308700,422800,105
CRAIGAVAD,342200,381200,106
CRAIGAVON,304200,356200,107
CRAIGS,304200,408100,108
CRANAGH,258900,392900,109
CRAWFORDSBURN,346400,381300,110
CREGGAN,293200,316100,111
CROSSGAR,345400,352100,112
CROSSMAGLEN,291100,315100,113
CRUMLIN,315500,376300,114
CULCAVY,323700,360400,115
CULLAVILLE,288800,313400,116
CULLYBACKEY,305500,405800,117
CULLYHANNA,292300,321000,118
CULTRA,340700,380100,119
CUSHENDALL,324100,427600,120
CUSHENDUN,324900,432600,121
DARKLEY,286100,331300,122
DERRYBOY,347800,356400,123
DERRYGONNELLY,212000,352100,124
DERVOCK,297700,431700,125
DESERTMARTIN,285400,392100,126
DOAGH,326200,389500,127
DOLLINGSTOWN,310700,358400,128
DONAGH,239700,330000,129
DONAGHADEE,359100,379900,130
DONAGHCLONEY,313100,353600,131
DONAGHMORE,277000,365400,132
DOWNHILL,275200,436000,133
DOWNPATRICK,348700,344600,134
DRAPERSTOWN,278300,394600,135
DROMARA,328800,349700,136
DROMORE,320200,353400,137
DROMORE,235100,362900,138
DRUMAHOE,246600,414700,139
DRUMANESS,339500,348700,140
DRUMBEG,330500,366800,141
DRUMBO,332200,365000,142
DRUMQUIN,233200,374200,143
DRUMSURN,271900,417200,144
DUNBARTON,306300,349000,145
DUNDONALD,341900,374000,146
DUNDROD,321500,375700,147
DUNDRUM,340500,336300,148
DUNGANNON,279700,362500,149
DUNGIVEN,268900,409500,150
DUNLOY,301600,419300,151
DUNMURRY,329200,368900,152
DUNNAMANAGH,244300,403100,153
DUNNAMORE,268500,381000,154
DUNSEVERICK,298700,444600,155
EDEN,343500,389000,156
EDERNEY,222200,365000,157
EGLINTON,252500,420200,158
EGLISH,278300,356500,159
ENNISKILLEN,224000,344000,160
FEENY,262800,405400,161
FINNIS,328500,347700,162
FINTONA,244200,361200,163
FIVEMILETOWN,244500,347800,164
FLURRYBRIDGE,307000,317700,165
