Votes,Prec. Count,Party,Dist. Type,Dist. Code,Contest Name,Cand. Num,Cand. Name,Vote For,Ref
222145,1319,,,,BALLOTS CAST - TOTAL,1,BALLOTS CAST - TOTAL,0,
46095,1319,DEM,,,Straight Party,1,Democratic,1,
17566,1319,REP,,,Straight Party,2,Republican,1,
9,1319,CON,,,Straight Party,3,Constitution,1,
2,1319,AFC,,,Straight Party,4,Albaugh for Council,1,
48,1319,DSB,,,Straight Party,5,Dave Schuilenburg,1,
192,1319,EDS,,,Straight Party,6,Elect Darlene Schrei,1,
15,1319,GRN,,,Straight Party,7,Green,1,
1629,1319,IND,,,Straight Party,8,Independent,1,
153,1319,IJA,,,Straight Party,9,Independent Judicial,1,
1,1319,LIB,,,Straight Party,10,Libertarian,1,
27,1319,NAI,,,Straight Party,11,New Afrikan Independ,1,
12,1319,OVE,,,Straight Party,12,Overly's Electric,1,
5,1319,WBC,,,Straight Party,13,Wall Boro Council,1,
156714,1319,DEM,,,Justice of the Supreme Court,1,David Wecht,3,
122700,1319,DEM,,,Justice of the Supreme Court,2,Kevin M. Dougherty,3,
131665,1319,DEM,,,Justice of the Supreme Court,3,Christine Donohue,3,
67569,1319,REP,,,Justice of the Supreme Court,4,Judy Olson,3,
58485,1319,REP,,,Justice of the Supreme Court,5,Mike George,3,
55545,1319,REP,,,Justice of the Supreme Court,6,Anne Covey,3,
13773,1319,IJA,,,Justice of the Supreme Court,7,Paul P. Panepinto,3,
123800,1319,DEM,,,Judge of the Superior Court,1,Alice Beck Dubow,1,
69751,1319,REP,,,Judge of the Superior Court,2,Emil Giordano,1,
133331,1319,DEM,,,Judge of the Commonwealth Court,1,Michael Wojcik,1,
73244,1319,REP,,,Judge of the Commonwealth Court,2,Paul Lalley,1,
157042,1319,DEM,,,Judge of the Court of Common Pleas,1,Jennifer Staley McCrady,3,
148961,1319,DEM,,,Judge of the Court of Common Pleas,2,Dan Regan,3,
123024,1319,DEM,,,Judge of the Court of Common Pleas,3,Hugh Fitzpatrick McGough,3,
75274,1319,REP,,,Judge of the Court of Common Pleas,4,P. J. Murray,3,
23448,211,DEM,SEN,37,Senator in the General Assembly 37TH DISTRICT,1,Heather Arnet,1,
27071,211,REP,SEN,37,Senator in the General Assembly 37TH DISTRICT,2,Guy Reschenthaler,1,
143334,1319,DEM,,,County Chief Executive,1,Rich Fitzgerald,1,
46298,1319,IND,,,County Chief Executive,2,Todd Elliott Koger,1,
182435,1319,DEM,,,County Controller,1,Chelsa Wagner,1,
175292,1319,DEM,,,District Attorney,1,"Stephen A. Zappala, Jr.",1,
192218,1319,DEM,,,County Treasurer,1,John K. Weinstein,1,
123997,1319,DEM,,,Member of County Council At-Large,1,John P. DeFazio,1,
63699,1319,REP,,,Member of County Council At-Large,2,Sam DeMarco,1,
17118,1319,IND,,,Member of County Council At-Large,3,Todd Elliott Koger,1,
11564,70,REP,CNT,CL02,Member of County Council DISTRICT 2,1,Cindy Kirk,1,
13516,88,REP,CNT,CL05,Member of County Council DISTRICT 5,1,Sue Means,1,
12325,98,DEM,CNT,CL06,Member of County Council DISTRICT 6,1,John F. Palmiere,1,
13776,105,DEM,CNT,CL07,Member of County Council DISTRICT 7,1,Nick Futules,1,
10678,133,DEM,CNT,CL10,Member of County Council DISTRICT 10,1,DeWitt Walton,1,
1825,133,IND,CNT,CL10,Member of County Council DISTRICT 10,2,Todd Elliott Koger,1,
13561,113,DEM,CNT,CL11,Member of County Council DISTRICT 11,1,Paul Klein,1,
10704,116,DEM,CNT,CL13,Member of County Council DISTRICT 13,1,Denise Ranalli-Russell,1,
1484,116,NAI,CNT,CL13,Member of County Council DISTRICT 13,2,Khalid Raheem,1,
12061,113,DEM,CNT,CL11,Member of County Council DISTRICT 11,1,Terri R. Klein,1,
2652,113,REP,CNT,CL11,Member of County Council DISTRICT 11,2,Andy Dlinn,1,
