objectid,pghdbsdeDPW_Divisionsarea,perimeter,dpwdivs_,dpwdivs_id,sqmiles,acres,division,supervsr,unique_id,sq_miles,dpw_divisions
1,230375018.912376,81799.074323,2,1,8.58,5488.629883,1,Kevin Kirby,7,,1
2,7809416.162515,13584.338325,3,9,0.28,179.279999,2,Pat Byrne,25,,2
3,297497168.050797,90237.705117,4,3,10.68,6832.040039,2,Pat Byrne,25,,2
4,6424213.956582,13255.117607,5,1,0.23,147.479996,1,Kevin Kirby,7,,1
5,2124908.112343,8996.682839,6,10,0.08,48.75,6,Dennis James,7,,6
8,8709865.353946,31045.08417,9,99,0.31,197.339996,6,Dennis James,18,,6
6,288378606.016313,142804.98966,7,5,10.34,6620.259766,5,Bob Palmosina,113,,5
7,42630811.497698,48982.132775,8,112,0.65,421.570007,6,Dennis James,24,,6
9,323218488.910112,95261.111454,10,4,11.87,7595.089844,3,Gregg Daley,85,,3
10,239489875.521808,102669.391407,11,6,8.59,5497.930176,4,John Radcliffe,14,,4
11,9461713.505457,13610.792362,12,0,0.34,217.210007,0, ,0,,0
12,98370566.15641,87455.831702,13,8,3.53,2258.280029,3,Gregg Daley,14,,3
