"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U9014_85 - CRONSTOWN COTTAGE PK1: START SW TO END NE -  ARDS","ARDS","Surface Type",217,217,350658,375074
"7065A0021_08 - SAINTFIELD RD 41: RAVARA RD C296 TO BALLYGOWAN RBT -  ARDS","ARDS","Surface Type",539,539,343053,363707
"7065A0022_20 - BELFAST RD COMBER 1: BELFAST RD RBT A21 TO BELFAST RD RHS -  ARDS","ARDS","Surface Type",167,167,345927,368910
"7065U0117_41 - KILBRIGHT RD1: DRUMFAD RD U115 TO NEW RD U152 -  ARDS","ARDS","Surface Type",398,398,360060,373245
"7065A0002_62 - WARREN RD  41: NEW RD TO BOUNDARY SIGN -  ARDS","ARDS","Surface Type",334,334,358663,380706
"7065U9014_41 - BROOMHILL PK2: COOLEEN AV TO MANDEVILLE AV -  ARDS","ARDS","Surface Type",83,83,351071,374872
"7065A0048_07 - MOAT ST DONAGHADEE : HIGH BANGOR RD B21 TO BRIDGE ST -  ARDS","ARDS","Surface Type",146,146,358445,380120
"7065U9400_03 - CHURCH RD2: CHURCH WK TO JUNCTION WITH NEW RD -  ARDS","ARDS","Surface Type",58,58,358283,372510
"7065C0254_02 - BALLYBLACK RD1: BOWTOWN RD U126 TO BALLYCASTLE RD U124 -  ARDS","ARDS","Surface Type",1712,1712,354033,372894
"7065C0367_04 - BALLYBUNDEN RD1: KILMOOD RD U197 TO C367 05 BALLYMINSTRAGH RD -  ARDS","ARDS","Surface Type",370,370,347259,362487
"7065C0367_02 - MOSS RD BALLYGOWAN1: CARRICKMANNON RD TO LISBARNETT RD -  ARDS","ARDS","Surface Type",2874,2874,346023,362738
"7065C0367_02 - MOSS RD BALLYGOWAN1: CARRICKMANNON RD TO LISBARNETT RD -  ARDS","ARDS","Surface Type",2808,2808,345961,362759
"7065U9300_27 - WESTLANDS 2: A0002_42 MAIN RD TO END CDS HSE 24 -  ARDS","ARDS","Surface Type",130,130,365422,359589
"7065U9000_02 - LANDSDOWNE GDS1: LANDSDOWNE RD TO LANDSDOWNE RD -  ARDS","ARDS","Surface Type",164,164,348624,372239
