"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065B0007_08 - BALLYNAHINCH RD3: HO 21 RHS TO CHURCH RD -  DOWN","DOWN","Surface Type",1120,1120,344031,352487
"7065U6003_11 - DOWN BUSINESS PARK: FROM A0007_01 TO T JCN AT END -  DOWN","DOWN","Surface Type",705,705,346872,346047
"7065C0323_02 - SLIEVENABOLEY RD1: B0007 03 RATHFRILAND RD TO U4216 01 LEGANANNY HALL RD -  DOWN","DOWN","Surface Type",1262,1262,326947,343921
"7065U0368_01 - BALLYMORRAN RD1: QUARTERLAND RD U381 TO TULLYCORE RD U382 -  DOWN","DOWN","Surface Type",818,818,351916,359010
"7065U6204_08 - BALLAGHBEG PK1: CASTLEWELLAN RD A50 TO END -  DOWN","DOWN","Surface Type",3,3,337571,332198
"7065U0154_01 - BALLYWILLWILL RD1: BALLYLOUGH RD B175 TO CLONVARAGHAN RD -  DOWN","DOWN","Surface Type",95,95,336380,340677
"7065B0006_02 - CLEALOUGH RD1: LISINAW RD U335 TO DERRYBOY RD C275 -  DOWN","DOWN","Surface Type",323,323,349286,355639
"7065U6103_01 - LANGLEY RD1: LISBURN ST A49 TO MAGHERAKNOCK RD A49 -  DOWN","DOWN","Surface Type",570,570,336312,353269
"7065U6300_48 - WINDMILL GRANGE: WINDMILL RD TO END -  DOWN","DOWN","Surface Type",8,8,341025,359556
"7065A0025_04 - STRANGFORD RD3: AUDLEYSTOWN RD TO CASTLE ISLAND RD -  DOWN","DOWN","Surface Type",2321,2321,352895,348134
"7065A0024_14 - BELFAST RD10: OLD BELFAST RD LHS TO SAINTFIELD RD A21 (1st exit) -  DOWN","DOWN","Surface Type",17,17,336690,353798
"7065A0022_03 - KILLYLEAGH RD1: FINNEBROGUE RD C280 TO SCADDY RD C277 -  DOWN","DOWN","Surface Type",2415,2415,349460,348750
"7065U0104_01 - DRUMAGHLIS RD1: BALLYNAHINCH RD B7 TO DRUMNACONAGHER RD -  DOWN","DOWN","Surface Type",655,655,342075,352064
"7065A0021_03 - BALLYNAHINCH RD2: DRUMNACONNELL RD U384 TO LISBURN RD B6 -  DOWN","DOWN","Surface Type",352,352,339937,358392
"7065A0025_15 - DOWNPATRICK RD5: BALLYROLLY RD C287 TO MAIN ST A24 RBT -  DOWN","DOWN","Surface Type",2418,2418,340817,340381
"7065U0318_03 - VIANSTOWN RD1: BISHOPS BRAE U303 TO RACE COURSE HILL -  DOWN","DOWN","Surface Type",138,138,348282,342888
"7065U6105_10 - HILLFOOT CRE1: WINDMILL GDS TO CARLISLE PK -  DOWN","DOWN","Surface Type",181,181,337498,352281
"7065A0002_20 - STATION RD8: DOWNPATRICK RD B176 TO CREW RD C283 -  DOWN","DOWN","Surface Type",968,968,353939,337544
"7065U6003_11 - DOWN BUSINESS PARK: FROM A0007_01 TO T JCN AT END -  DOWN","DOWN","Surface Type",436,436,347089,346192
"7065B0007_25 - RATHFRILAND RD5: C0293 DUNDRUM RD TO U4165 01 DRIN RD -  DOWN","DOWN","Surface Type",1134,1134,328660,348446
"7065A0007_07 - SAINTFIELD RD2: B0007_06 KILLYLEAGH ST TO  U6400_29 LISSARA CLOSE -  DOWN","DOWN","Surface Type",112,112,345276,352271
"7065U0119_01 - GROVE RD1: DROMARA RD U167 TO SPA RD B175 -  DOWN","DOWN","Surface Type",395,395,335447,351434
"7065U0372_02 - CARSONSTOWN RD1: STATION RD B6 TO CROSSGAR RD A7 -  DOWN","DOWN","Surface Type",687,687,342730,358895
"7065C0292_01 - BALLYMACARN RD1: DUNMORE RD B175 TO DROMARA RD U167 -  DOWN","DOWN","Surface Type",10,10,336480,347656
"7065B0006_05 - KILLYLEAGH RD1: DARRAGH RD C274 TO STATION RD C271 -  DOWN","DOWN","Surface Type",1183,1183,344207,358778
"7065C0283_02 - CHURCHTOWN RD1: BALLYCULTER RD C282 TO GLEBE RD U2214 -  DOWN","DOWN","Surface Type",66,66,357139,347204
"7065C0290_04 - MAGHERAHAMLET RD1: DUNMORE RD C293 TO MOUNTVIEW RD U120 -  DOWN","DOWN","Surface Type",425,425,335950,347134
"7065U6100_01 - CROOB PK2: GROVE RD TO END -  DOWN","DOWN","Surface Type",78,78,336111,352171
"7065U1313_01 - CASTLESKREEN RD1: BALLYLUCAS RD C286 TO ERENAGH RD U306 -  DOWN","DOWN","Surface Type",641,641,347664,339820
"7065A0024_12 - MAIN ST1: A0049_01 LISBURN STREET TO CROSSGAR RD B7 -  DOWN","DOWN","Surface Type",4,4,336591,352502
"7065B0007_02 - SHRIGLEY RD1: FREDERICK ST TO CLEALOUGH RD B6 -  DOWN","DOWN","Surface Type",903,903,351932,353611
"7065B0007_02 - SHRIGLEY RD1: FREDERICK ST TO CLEALOUGH RD B6 -  DOWN","DOWN","Surface Type",928,928,351920,353632
"7065U0318_01 - VIANSTOWN RD2: BALLYKILBEG RD C288 TO BONECASTLE RD C285 -  DOWN","DOWN","Surface Type",1127,1127,346625,340573
"7065A0049_03 - MAGHERAKNOCK RD2: LANGLEY RD TO LAUREL RD -  DOWN","DOWN","Surface Type",683,683,335793,354039
"7065A0049_03 - MAGHERAKNOCK RD2: LANGLEY RD TO LAUREL RD -  DOWN","DOWN","Surface Type",929,929,335613,354208
"7065U1215_01 - BLACKCAUSEWAY RD1: DOWNPATRICK RD A25 TO GLEBE RD U2214 -  DOWN","DOWN","Surface Type",2745,2745,358336,346321
"7065U6200_02 - SUNNINGDALE PK2: TULLYBRANNIGAN RD TO SUNNINGDALE DR -  DOWN","DOWN","Surface Type",128,128,336566,330787
"7065B0180_09 - BRYANSFORD RD2: BOG RD U219 TO MILL RD C320 -  DOWN","DOWN","Surface Type",1530,1530,327941,331208
"7065U0219_02 - BOG RD8: TULLYNAREE RD C373 TO BRYANSFORD RD B180 -  DOWN","DOWN","Surface Type",923,923,329403,332152
"7065U6204_32 - MARGUERITE GDNS CDS:  MARGUERITE GDNS TO END -  DOWN","DOWN","Surface Type",71,71,337248,332031
"7065U0347_23 - BRIDGE ST3: SHORE ST NO 2 LHS TO SEASIDE RD NO 26 LHS -  DOWN","DOWN","Surface Type",83,83,352970,352488
"7065B0007_08 - BALLYNAHINCH RD3: HO 21 RHS TO CHURCH RD -  DOWN","DOWN","Surface Type",1200,1200,343951,352494
"7065U1225_01 - MEARNE RD1: STRANGFORD RD A25 TO ST PATRICKS RD C281 -  DOWN","DOWN","Surface Type",66,66,349693,346430
"7065U0368_01 - BALLYMORRAN RD1: QUARTERLAND RD U381 TO TULLYCORE RD U382 -  DOWN","DOWN","Surface Type",896,896,351934,358932
"7065U0650_05 - THE BEECHES2: GROVE RD U119 TO END -  DOWN","DOWN","Surface Type",214,214,336264,349363
"7065U6008_01 - BULLS EYE PK1: RATHKELTAIR RD TO END -  DOWN","DOWN","Surface Type",79,79,349514,345419
"7065A0007_04 - DOWNPATRICK RD5: ROCKS CHAPEL RD U146 LHS TO DRAKESBRIDGE RD -  DOWN","DOWN","Surface Type",1317,1317,346749,350162
"7065C0308_02 - CLONVARAGHAN RD1: WOOD RD C324 TO SLIEVENISKY RD U152 -  DOWN","DOWN","Surface Type",1988,1988,334049,342109
"7065U6105_10 - HILLFOOT CRE1: WINDMILL GDS TO CARLISLE PK -  DOWN","DOWN","Surface Type",187,187,337501,352275
"7065U6011_02 - COLMCILLE RD1: KILLOUGH RD TO FLYING HORSE RD -  DOWN","DOWN","Surface Type",11,11,349067,343251
