HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA02C,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,.,"9,928",.,.,.,.,"9,928"
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,.,"5,787",.,.,.,.,"5,787"
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,595",.,.,.,.,"8,595"
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"8,230",.,.,.,.,"8,230"
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,"4,556",.,.,.,.,"4,556"
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"4,066",.,.,.,.,"4,066"
AA04D,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"4,121",.,.,.,.,"4,121"
AA07D,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"4,192",.,.,.,.,"4,192"
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"4,473",.,.,.,.,"4,473"
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,139",.,.,.,.,"8,139"
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"7,025",.,.,.,.,"7,025"
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,515","1,515"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"6,909",.,.,.,.,"6,909"
AA16Z,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,.,"3,759",.,.,.,.,"3,759"
AA17C,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,"3,169",.,.,.,.,"3,169"
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"4,052",.,.,.,.,"4,052"
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,"4,084",.,.,.,.,"4,084"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"6,059",.,.,.,.,"6,059"
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"5,139",.,.,.,.,"5,139"
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,890",.,.,.,.,"2,890"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2","2,115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,115"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"6,856",.,.,.,.,"6,856"
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,409,.,.,.,.,.,.,520,.,.,.,.,483
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,327,409,.,.,.,.,.,.,453,.,502,.,.,442
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",438,407,404,.,327,.,.,.,376,.,387,.,482,.,.,.,333,447
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",438,399,636,.,327,409,528,.,376,.,334,.,489,.,575,.,362,450
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",438,406,509,513,399,301,528,.,376,.,379,.,476,.,529,.,365,435
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,370,.,.,345,.,.,.,376,.,"1,854",.,.,.,.,.,.,611
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,457,376,404,454,327,.,.,.,376,.,"1,986",.,953,.,648,.,321,528
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,438,397,.,454,554,352,528,.,374,.,.,.,498,.,520,.,361,441
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,424,402,465,513,421,326,.,.,.,.,365,.,485,.,502,.,367,436
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",521,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,521
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,547,.,.,.,.,547
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",438,385,.,.,.,.,.,.,376,.,.,.,386,.,.,.,367,398
