HRG Code,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,186,.,"1,650",.,.,.,.,.,.,"17,700",.,.,.,391,.,"19,927"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,241
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"1,695",.,.,.,.,.,"1,695"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,761,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,761
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,161,.,.,.,.,.,.,.,.,.,.,.,.,.,.,161
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,482,.,.,.,.,.,.,.,.,.,.,604,.,"3,914",.,"5,001"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,119,.,.,.,.,.,.,.,.,.,.,.,.,652,.,771
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,"2,086",.,.,.,.,.,.,.,.,531,.,.,.,.,.,"2,617"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,371,.,.,320,.,132,.,.,.,.,.,.,.,823
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",520,.,.,.,.,"30,913",.,.,"16,994",.,136,.,"10,272",.,.,.,"15,667",.,"74,503"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,964,454,.,.,.,.,.,.,.,.,.,.,.,"1,419"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,"1,166",170,.,"3,933",909,.,.,.,.,.,.,236,.,.,"1,820",.,"8,233"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,549",810,"13,994","6,470","2,115","36,760","2,519",.,.,"1,161","4,581",.,"25,183","8,629",.,.,"23,318",.,"127,090"
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA29F,Transient Ischaemic Attack with CC Score 0-4,259,.,.,.,.,742,.,.,.,.,.,.,.,.,.,.,.,.,"1,001"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,"3,181",.,.,.,.,.,312,.,.,.,266,.,"3,760"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","5,076",.,.,298,.,"19,282","31,022",.,.,.,.,115,"555,265",.,.,.,.,.,"611,058"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,145,"1,959","73,587",909,.,.,.,.,.,"1,564",.,.,.,"6,906",.,"85,070"
AA35B,Stroke with CC Score 13-15,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA35D,Stroke with CC Score 7-9,.,276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,276
AA35E,Stroke with CC Score 4-6,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA35F,Stroke with CC Score 0-3,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,"8,145","1,864",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,009"
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,710,.,.,.,.,710
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",352,.,.,"3,710","2,261",.,.,.,.,.,.,.,.,946,.,.,"1,553",.,"8,821"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,591",.,.,.,.,"2,591"
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",490,.,.,.,.,.,.,.,.,.,.,.,.,"5,878",.,.,391,.,"6,758"
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",579,.,.,.,"41,319",.,.,.,.,.,.,.,"2,451","12,603",.,.,"1,562",.,"58,514"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,521",.,"5,521"
AA57A,"Minimal Intracranial Procedures, 19 years and over",520,.,.,"51,289","43,614",.,.,.,.,.,.,.,"32,284","31,792",.,.,781,.,"160,281"
AA57B,"Minimal Intracranial Procedures, 18 years and under",.,.,.,.,.,.,.,.,"3,067",.,.,.,.,.,.,.,.,.,"3,067"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,"27,918","14,555",.,.,.,.,.,.,.,.,.,.,.,.,.,"42,474"
AA80Z,Complex Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AA81Z,Standard Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AB12Z,Insertion of Neurostimulator for Pain Management,.,.,.,"140,829","50,951",.,.,.,.,.,.,.,"10,031","9,408",.,.,.,.,"211,219"
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management,.,.,.,.,"2,928",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,928"
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,"49,906",.,.,.,.,.,.,.,.,.,"13,629",.,.,.,.,"63,535"
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management","28,596",.,.,"128,829","60,727",.,.,.,.,.,"12,534","26,898",.,"38,472",.,"5,394","4,296",.,"305,746"
AB16Z,"Denervation or Injection Around Spinal Facet, for Pain Management","100,390",.,.,"384,541","20,119",.,.,.,"161,845",.,"16,651","93,466","1,015","138,290",.,"129,447","4,296",.,"1,050,060"
AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management","13,025",.,.,"37,287","13,491","26,297",.,"4,644","4,481",.,"6,030","38,509","3,893","11,467",.,"14,903","40,743",.,"214,770"
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,"17,746",.,.,872,.,"4,184",.,.,"9,473",.,.,"32,253","69,581","44,457",.,"4,045","56,896",.,"239,509"
AB19Z,Injection of Therapeutic Substance into Joint for Pain Management,"19,184",.,"15,744","3,487",.,"90,625",.,"3,571","148,007",743,.,"40,876","4,653","9,982",.,"7,287","3,986",.,"348,144"
