HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,"3,295",.,.,.,.,"3,295"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","1,693",.,.,.,"4,566",.,.,.,.,.,.,.,"3,705",.,.,.,.,"3,321"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,832,.,.,.,.,.,.,.,"2,545",.,.,.,.,"2,203"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",446,.,.,.,439,.,.,.,.,.,.,.,"3,122",.,.,.,.,"2,503"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,903","5,903"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"1,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,350"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,"14,447",.,.,.,.,.,.,.,.,.,"10,446",.,.,.,.,"12,447"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"3,652",.,.,.,.,"3,652"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"3,485",.,.,.,.,"3,485"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,"2,808",.,.,.,.,.,.,.,.,"1,540",.,.,.,.,"2,174"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"2,499",.,.,.,.,.,.,.,.,.,"2,855",.,.,.,.,"2,748"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"3,248",.,"1,660",.,.,.,.,.,.,.,"2,304",.,.,.,.,"2,545"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"1,705",.,408,.,.,.,.,.,.,.,"3,213",.,514,.,"2,271","2,100"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,728,"13,105",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,917"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,"1,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,350"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","4,013",.,.,.,.,.,.,.,.,.,.,.,"3,257",.,.,.,994,"2,503"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,"1,213",.,"4,897",.,.,.,.,.,.,.,"3,303",.,.,.,.,"3,118"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",446,.,.,.,"2,257",.,.,592,.,.,.,.,"2,703",.,"3,938",.,"1,915","2,553"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,"3,902",.,.,.,.,.,.,.,.,.,"3,902"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,443,444
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","1,693","1,688","4,624",.,.,.,.,"2,751",.,.,.,.,"3,338",.,.,.,.,"3,138"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",817,"1,482",861,.,.,.,.,.,.,.,.,.,"2,719",.,514,.,"1,430","1,938"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,062","1,175",688,"1,290","3,754",.,.,"2,214",.,.,.,.,"2,280",.,.,.,"1,915","2,040"
AA27Z,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,855,.,.,.,.,855
AA28C,Motor Neuron Disease with CC Score 8+,.,.,.,.,.,.,.,.,.,.,.,.,"15,957",.,.,.,.,"15,957"
AA28D,Motor Neuron Disease with CC Score 5-7,"3,716",.,841,.,.,.,.,.,.,.,.,.,"4,830",.,.,.,.,"3,608"
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,"1,794",.,.,.,.,.,.,.,.,.,"6,520",.,.,.,.,"5,429"
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,615,.,.,.,.,.,.,.,.,.,"5,835",.,.,.,.,"5,338"
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,345,.,.,.,.,.,.,.,.,.,.,"2,318",.,.,.,.,"1,331"
AA29E,Transient Ischaemic Attack with CC Score 5-7,446,401,.,.,.,.,.,.,.,.,.,.,"1,491",.,.,.,485,706
AA29F,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",.,514,.,.,932
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,"8,917",.,.,.,"1,479",.,.,.,"1,478",.,"2,625",.,.,"4,149"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"2,006",.,.,.,.,.,.,.,"1,416",.,.,.,"1,865","1,663"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",446,.,.,.,"1,338",291,.,.,.,.,.,.,"1,857",.,.,.,.,"1,722"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,401
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",446,.,"2,171",468,.,291,.,.,.,.,.,.,"2,487",.,"1,028",.,.,"1,841"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,144",.,.,.,.,"1,144"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",745,558,.,.,.,.,.,.,.,.,.,.,"1,627",.,.,.,.,"1,302"
AA35B,Stroke with CC Score 13-15,.,689,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,843
AA35C,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,"12,844",.,.,.,.,"12,844"
AA35D,Stroke with CC Score 7-9,.,686,.,"3,744",.,.,.,.,.,.,.,.,"4,341",.,.,.,.,"2,958"
AA35E,Stroke with CC Score 4-6,402,.,.,.,"3,010","1,162",.,.,.,.,.,.,"2,846",.,.,.,.,"2,205"
AA35F,Stroke with CC Score 0-3,446,.,"4,624",.,.,.,.,.,.,.,.,.,929,.,656,.,.,"1,664"
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"27,094",.,.,.,.,"27,094"
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"15,956",.,.,.,.,"15,956"
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"86,864",.,.,.,.,"86,864"
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"7,707",.,.,.,.,"7,707"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"8,498",.,.,.,.,"8,498"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"3,342",.,.,.,.,"8,831",.,.,.,.,"8,488"
