HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,1,3,9,.,.,2,1,.,3,.,.,.,.,19
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",6,4,.,.,5,.,.,.,1,.,.,12,.,1,.,.,29
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",20,1,3,2,5,1,.,.,1,.,3,31,1,3,.,1,72
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",14,11,1,2,5,6,3,.,1,2,4,57,.,1,.,12,119
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",20,41,1,8,32,9,2,.,6,.,11,79,.,7,.,31,247
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,2,.,.,.,2,1,.,3,.,.,1,1,.,.,.,10
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,5,1,3,4,5,1,.,1,.,1,6,1,.,.,4,32
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,8,11,.,4,10,5,.,.,.,.,2,19,3,2,.,16,80
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,9,13,1,2,6,3,.,.,1,.,1,38,.,2,.,10,86
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,7,3,.,5,8,1,.,.,.,.,2,41,.,1,.,8,76
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,10,.,1,5,1,.,.,.,.,.,2,1,.,.,3,23
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",4,6,7,4,2,1,.,.,.,.,5,5,.,4,.,1,39
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",5,10,2,2,3,2,.,.,1,.,1,8,.,7,.,6,47
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",6,4,9,3,9,6,.,.,2,.,1,16,.,5,.,25,86
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",11,15,21,7,9,6,.,.,2,.,.,30,1,7,.,16,125
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",8,12,15,2,8,1,1,.,.,2,4,46,.,5,.,8,112
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",4,2,.,1,1,2,1,.,5,1,.,2,.,.,.,.,19
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",7,4,1,2,9,1,4,.,7,2,.,10,5,1,.,9,62
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",25,12,6,5,19,2,.,.,4,2,1,31,2,9,.,31,149
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",34,27,13,7,41,9,4,.,9,5,12,62,4,11,.,50,288
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",42,37,7,10,45,23,4,.,4,2,15,141,2,6,.,67,405
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",1,5,17,2,3,13,.,.,4,10,.,9,5,1,.,4,74
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",8,3,3,.,16,4,2,.,7,4,2,37,6,3,.,14,109
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",25,22,10,10,24,11,5,.,10,14,1,73,7,14,.,45,271
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",52,67,16,20,65,34,11,.,18,12,11,189,6,48,.,87,636
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",78,120,12,39,108,54,2,.,8,6,34,248,2,48,.,114,873
