HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,"7,957","5,764",.,.,.,.,.,.,.,.,.,.,.,"6,312"
AA22C,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,"1,205",.,.,.,.,.,.,.,.,.,.,"1,205"
AA22C,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,"7,250",.,.,.,.,"7,250"
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,"5,678",755,.,"5,922",.,.,.,.,"4,791"
AA22D,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,739,.,.,.,.,739
AA22D,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"14,553",.,.,.,.,"14,553"
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","3,679","5,212",.,.,"1,692",.,.,.,.,.,.,"3,195",.,.,.,.,"3,191"
AA22D,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"3,888",.,.,.,.,"3,888"
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","1,366","6,076",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,936"
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"11,641",.,.,.,.,"11,641"
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,"6,891",.,.,"6,772",.,.,.,"4,660",.,.,"12,191",.,"20,346",.,.,"11,069"
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","3,249","1,203","1,011","5,307","4,511","3,196",.,.,740,.,"4,451","1,178",.,.,.,.,"2,538"
AA22E,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"7,685",.,.,.,.,"7,685"
AA22E,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","1,639",.,"5,160",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,343"
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"6,052",.,.,.,.,"6,052"
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","6,785",.,.,.,"2,884",.,.,.,.,.,.,"3,998","8,361","4,813",.,"5,311","4,412"
AA22E,823,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,"9,667",.,.,.,.,.,.,.,.,.,.,.,"9,667"
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"1,536",.,.,.,.,"1,536"
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"4,385",.,.,.,.,"4,385"
AA22F,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"7,003",.,.,.,.,"7,003"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","3,729","3,458",.,"3,042","2,255","1,550","2,575",.,740,.,"2,154","2,075",.,.,.,"1,409","2,445"
AA22F,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,"6,389",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,389"
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,"1,288",.,.,.,.,.,.,.,.,.,.,.,"1,288"
