a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2014,1,2,1,1,1,4,3, , ,8, , ,8
2014,1,2,2,3,1,5,3, , ,8, , ,8
2014,1,2,3,4,1,4,3, , ,8, , ,8
2014,1,3,4,1,1,5,3, , ,8, , ,8
2014,1,3,5,4,1,5,3, , ,8, , ,8
2014,1,3,6,3,1,5,3, , ,8, , ,8
2014,2,2,1,1,2,6,3, , ,8, , ,8
2014,3,1,1,1,1,4,2,1,1,8,1, ,8
2014,3,2,2,1,1,4,2,1,1,8,1, ,8
2014,3,2,3,3,2,5,2,1,1,8,1, ,8
2014,3,2,4,4,1,9,2,1,1,8,1, ,8
2014,4,0,1,5,1,4,3, , ,8, , , 
2014,5,2,1,1,1,5,3, , ,8, , ,8
2014,6,1,1,1,1,4,3, , ,8, , ,8
2014,6,1,2,3,1,4,3, , ,8, , ,8
2014,7,1,1,1,1,4,3, , ,8, , ,8
2014,8,1,1,1,2,5,3, , ,8, , ,8
2014,9,1,1,1,2,4,3, , ,8, , ,8
2014,10,1,1,1,2,7,3, , ,8, , ,8
2014,11,1,1,1,2,7,3, , ,8, , ,8
2014,12,1,1,6,1,3,3, , ,8, , ,4
2014,13,1,1,1,2,6,3, , ,8, , ,8
2014,14,1,1,1,1,3,3, , ,8, , ,8
2014,15,1,1,1,1,3,3, , ,8, , ,8
2014,16,1,1,1,2,4,3, , ,8, , ,8
2014,16,1,2,4,1,1,3, , ,8, , ,8
2014,17,1,1,1,1,5,3, , ,8, , ,8
2014,17,2,2,1,2,5,3, , ,8, , ,8
2014,17,2,3,3,2,7,3, , ,8, , ,8
2014,17,2,4,4,2,1,3, , ,8, , ,8
2014,18,1,1,1,2,3,3, , ,8, , ,8
2014,19,1,1,1,2,8,2,1,1,8,1, ,8
2014,19,2,2,1,1,5,3,1,1,8,1, ,8
2014,19,2,3,3,1,6,3,1,1,8,1, ,8
2014,19,2,4,4,1,5,3,1,1,8,1, ,8
2014,20,2,1,1,1,6,3, , ,8, , ,8
2014,20,2,2,4,1,4,3, , ,8, , ,8
2014,21,1,1,1,1,5,3, , ,8, , ,8
2014,22,1,1,1,1,6,3, , ,8, , ,8
2014,23,2,1,7,1,5,3, , ,8, , ,1
2014,24,1,1,1,1,5,3, , ,8, , ,8
2014,24,2,2,3,2,4,3, , ,8, , ,8
2014,25,1,1,1,2,4,2,1,1,8,1, ,8
2014,25,2,2,1,2,5,3,1,1,8,1, ,8
2014,25,2,3,4,2,1,3,1,1,8,1, ,8
2014,25,2,4,4,1,1,3,1,1,8,1, ,8
2014,26,2,1,1,1,8,3, , ,8, , ,15
2014,26,3,2,1,1,8,3, , ,8, , ,8
2014,27,1,1,1,1,6,3, , ,8, , ,8
