Council,Date,Financial,Value ($000)
Northland Region,2010,27 Operating receipts,25061
Northland Region,2010,28 Operating Payments,36376
Northland Region,2010,29 Net Operating Cash Flows,-11315
Northland Region,2010,30 Receipts from Investing Activities,429
Northland Region,2010,31 Purchase of Property Plant & Equipment,3910
Northland Region,2010,32 Fixed Asset Purchases,0
Northland Region,2010,33 Renewals,0
Northland Region,2010,34 Purchasing of Other Investments,0
Northland Region,2010,35 Net Investing Cash Flows,-3481
Northland Region,2010,36 Cash Receipts from Financing Activities,0
Northland Region,2010,37 Cash Outgoings from Financing Activities,0
Northland Region,2010,38 Net Financing Cash Flows,0
Northland Region,2011,27 Operating receipts,25260
Northland Region,2011,28 Operating Payments,23617
Northland Region,2011,29 Net Operating Cash Flows,1644
Northland Region,2011,30 Receipts from Investing Activities,650
Northland Region,2011,31 Purchase of Property Plant & Equipment,2587
Northland Region,2011,32 Fixed Asset Purchases,0
Northland Region,2011,33 Renewals,0
Northland Region,2011,34 Purchasing of Other Investments,0
Northland Region,2011,35 Net Investing Cash Flows,-1937
Northland Region,2011,36 Cash Receipts from Financing Activities,0
Northland Region,2011,37 Cash Outgoings from Financing Activities,0
Northland Region,2011,38 Net Financing Cash Flows,0
Northland Region,2012,27 Operating receipts,25836
Northland Region,2012,28 Operating Payments,24164
Northland Region,2012,29 Net Operating Cash Flows,1672
Northland Region,2012,30 Receipts from Investing Activities,0
Northland Region,2012,31 Purchase of Property Plant & Equipment,1547
Northland Region,2012,32 Fixed Asset Purchases,0
Northland Region,2012,33 Renewals,0
Northland Region,2012,34 Purchasing of Other Investments,0
Northland Region,2012,35 Net Investing Cash Flows,-1547
Northland Region,2012,36 Cash Receipts from Financing Activities,0
Northland Region,2012,37 Cash Outgoings from Financing Activities,0
Northland Region,2012,38 Net Financing Cash Flows,0
Northland Region,2013,27 Operating receipts,26360
Northland Region,2013,28 Operating Payments,24461
Northland Region,2013,29 Net Operating Cash Flows,1899
Northland Region,2013,30 Receipts from Investing Activities,0
Northland Region,2013,31 Purchase of Property Plant & Equipment,1273
Northland Region,2013,32 Fixed Asset Purchases,0
Northland Region,2013,33 Renewals,0
Northland Region,2013,34 Purchasing of Other Investments,0
Northland Region,2013,35 Net Investing Cash Flows,-1273
Northland Region,2013,36 Cash Receipts from Financing Activities,0
Northland Region,2013,37 Cash Outgoings from Financing Activities,0
Northland Region,2013,38 Net Financing Cash Flows,0
Northland Region,2014,27 Operating receipts,26815
Northland Region,2014,28 Operating Payments,24864
Northland Region,2014,29 Net Operating Cash Flows,1951
Northland Region,2014,30 Receipts from Investing Activities,7400
Northland Region,2014,31 Purchase of Property Plant & Equipment,1540
Northland Region,2014,32 Fixed Asset Purchases,0
Northland Region,2014,33 Renewals,0
Northland Region,2014,34 Purchasing of Other Investments,7400
Northland Region,2014,35 Net Investing Cash Flows,-1540
Northland Region,2014,36 Cash Receipts from Financing Activities,0
Northland Region,2014,37 Cash Outgoings from Financing Activities,0
Northland Region,2014,38 Net Financing Cash Flows,0
Northland Region,2015,27 Operating receipts,27537
Northland Region,2015,28 Operating Payments,25872
Northland Region,2015,29 Net Operating Cash Flows,1665
Northland Region,2015,30 Receipts from Investing Activities,0
Northland Region,2015,31 Purchase of Property Plant & Equipment,1057
Northland Region,2015,32 Fixed Asset Purchases,0
Northland Region,2015,33 Renewals,0
Northland Region,2015,34 Purchasing of Other Investments,0
Northland Region,2015,35 Net Investing Cash Flows,-1057
Northland Region,2015,36 Cash Receipts from Financing Activities,0
Northland Region,2015,37 Cash Outgoings from Financing Activities,0
Northland Region,2015,38 Net Financing Cash Flows,0
Northland Region,2016,27 Operating receipts,28369
Northland Region,2016,28 Operating Payments,25858
Northland Region,2016,29 Net Operating Cash Flows,2511
Northland Region,2016,30 Receipts from Investing Activities,0
Northland Region,2016,31 Purchase of Property Plant & Equipment,1233
Northland Region,2016,32 Fixed Asset Purchases,0
Northland Region,2016,33 Renewals,0
Northland Region,2016,34 Purchasing of Other Investments,0
Northland Region,2016,35 Net Investing Cash Flows,-1233
Northland Region,2016,36 Cash Receipts from Financing Activities,0
Northland Region,2016,37 Cash Outgoings from Financing Activities,0
Northland Region,2016,38 Net Financing Cash Flows,0
Northland Region,2017,27 Operating receipts,28579
Northland Region,2017,28 Operating Payments,26582
Northland Region,2017,29 Net Operating Cash Flows,1997
Northland Region,2017,30 Receipts from Investing Activities,0
Northland Region,2017,31 Purchase of Property Plant & Equipment,1753
Northland Region,2017,32 Fixed Asset Purchases,0
Northland Region,2017,33 Renewals,0
Northland Region,2017,34 Purchasing of Other Investments,0
Northland Region,2017,35 Net Investing Cash Flows,-1753
Northland Region,2017,36 Cash Receipts from Financing Activities,0
Northland Region,2017,37 Cash Outgoings from Financing Activities,0
Northland Region,2017,38 Net Financing Cash Flows,0
Northland Region,2018,27 Operating receipts,29194
Northland Region,2018,28 Operating Payments,27271
Northland Region,2018,29 Net Operating Cash Flows,1923
Northland Region,2018,30 Receipts from Investing Activities,0
Northland Region,2018,31 Purchase of Property Plant & Equipment,1053
Northland Region,2018,32 Fixed Asset Purchases,0
Northland Region,2018,33 Renewals,0
Northland Region,2018,34 Purchasing of Other Investments,0
Northland Region,2018,35 Net Investing Cash Flows,-1053
Northland Region,2018,36 Cash Receipts from Financing Activities,0
Northland Region,2018,37 Cash Outgoings from Financing Activities,0
Northland Region,2018,38 Net Financing Cash Flows,0
Northland Region,2019,27 Operating receipts,29826
Northland Region,2019,28 Operating Payments,27825
Northland Region,2019,29 Net Operating Cash Flows,2001
Northland Region,2019,30 Receipts from Investing Activities,0
Northland Region,2019,31 Purchase of Property Plant & Equipment,1767
Northland Region,2019,32 Fixed Asset Purchases,0
Northland Region,2019,33 Renewals,0
