OBJECTID,Name,TerminationDate,EffectiveDate,Sponsor,Active,Verified,Notes,VERIFIED_DATE
1,THE WATERFRONT,,,ACED,,, ,
2,BRENTWOOD TOWN SQUARE,,,ACED,,, ,
3,FRAZER MILLS,,,ACED,,Y, ,2012-12-12T00:00:00.000Z
4,MT. NEBO POINTE,,,ACED,,Y, ,2012-11-15T05:00:00.000Z
5,WASHINGTON PARK,,,ACED,,, ,
6,NORTHFIELD SITE PHASE 1,,,ACED,,Y, ,2012-11-19T00:00:00.000Z
8,BROADHEAD FORDING,,,URA,,, ,
9,CENTER NEGLEY,,,URA,,, ,
10,EAST LIBERTY GATEWAY,,,URA,,, ,
11,FIFTH & MARKET,,,URA,,, ,
12,FULTON BUILDING,,,URA,,, ,
13,CENTER TRIANGLE - LAZARUS ,,,URA,,, ,
14,MELLON CLIENT SERVICE CENTER,,,URA,,, ,
15,PANTHER HOLLOW,,,URA,,, ,
16,BAKERY SQUARE,,,URA,,, ,
17,HEINZ  NORTH SHORE,,,URA,,, ,
18,NORTH SHORE,,,URA,,, ,
19,CENTER TRIANGLE -  MELLON CLIENT SERVICE CENTER,,,URA,,,HTA PENN AVE - 501-521PENN AVE,
20,STATION SQUARE,,,URA,,,LIST DOES NOT INCLUDE 1-P-75,
21,PNC FIRSTSIDE - CENTER TRIANGLE,,,URA,,,                                        ,
22,SCHENLEY CENTER,,,URA,,,                                ,
23,PENN LIBERTY PLAZA,,,URA,,,,
24,PITTSBURGH TECHNOLOGY CENTER,,,URA,,,,
25,SOUTH SIDE WORKS,,,URA,,,,
26,FEDERAL NORTH,,,URA,,,,
27,HOME DEPOT,,,URA,,,,
28,CLINTON INDUSTRIAL PARK PHASE I,,,ACED,A,Y,Amended 8/19/2015,2012-11-05T00:00:00.000Z
29,ROBINSON MALL AND PERIPHERAL DEVELOPMENT,,,ACED,,, ,
31,WESTPORT WOODS,,,ACED,,Y,,
32,GARDENS AT MARKET SQUARE,,,URA,,,,
33,SEWICKLEY,,,ACED,A,,,
34,POTATO GARDEN RUN,,,ACED,,Y,Amended 8/18/2015,
38,MCCLAREN ROAD TIF,,,,,Y,Added 8/24/2015,
39,CLINTON INDUSTRIAL PARK PHASE II,,,,,Y,Added 8/21/2015 ,
