Neighborhood,Sector #,Population (2010),"Total Pop, 25 and older (2010)",Edu. Attainment: Less than High School (2010),Edu. Attainment: High School Graduate (2010),Edu. Attainment: Assoc./Prof. Degree (2010),Edu. Attainment: Bachelor's Degree (2010),Edu. Attainment: Postgraduate Degree (2010),1999 Median Income ('99 Dollars),2009 Median Income ('09 Dollars),1999 Median Income ('11 Dollars),2009 Med. Income ('13 Dollars),Est. Pop. for which Poverty Calc. (2010),Est. Pop. Under Poverty (2010),Est. Percent Under Poverty (2010)
Allegheny Center,3,933,609,18.7%,44.5%,17.2%,15.8%,3.8%,"$16,964 ","$20,911 ","$22,535 ","$22,793 ",954,324,34.0%
Allegheny West,3,462,239,9.2%,28.9%,6.7%,44.8%,10.5%,"$26,638 ","$41,761 ","$35,386 ","$45,519 ",239,12,5.0%
Allentown,6,"2,500","1,729",23.0%,63.3%,6.6%,5.6%,1.5%,"$22,539 ","$29,274 ","$29,941 ","$31,909 ","2,212",630,28.5%
Arlington,7,"1,869","1,232",14.9%,65.3%,10.1%,7.1%,2.5%,"$27,167 ","$25,119 ","$36,089 ","$27,380 ","1,779",361,20.3%
Arlington Heights,7,244,166,18.1%,74.1%,0.0%,7.8%,0.0%,"$18,646 ","$9,417 ","$24,769 ","$10,265 ",293,169,57.7%
Banksville,5,"4,144","3,935",9.8%,51.5%,9.8%,22.3%,6.6%,"$38,555 ","$50,625 ","$51,217 ","$55,181 ","4,170",243,5.8%
Bedford Dwellings,15,"1,202",733,8.3%,49.9%,12.8%,14.2%,14.7%,"$8,955 ","$9,992 ","$11,896 ","$10,891 ","1,203",589,49.0%
Beechview,5,"7,974","5,211",11.0%,58.1%,11.1%,13.6%,6.2%,"$34,079 ","$36,602 ","$45,270 ","$39,896 ","7,450","1,366",18.3%
Beltzhoover,6,"1,925","1,369",19.3%,54.3%,13.8%,8.3%,4.2%,"$26,750 ","$33,869 ","$35,535 ","$36,917 ","2,066",485,23.5%
Bloomfield,12,"8,442","6,671",11.2%,42.6%,8.6%,24.1%,13.5%,"$23,831 ","$30,830 ","$31,658 ","$33,604 ","9,192","1,781",19.4%
Bluff,15,"6,600","2,834",14.1%,73.9%,4.4%,2.6%,5.0%,"$11,515 ","$12,795 ","$15,297 ","$13,947 ","1,365","1,095",80.2%
Bon Air,6,808,715,21.5%,57.2%,8.1%,9.2%,3.9%,"$40,417 ","$37,448 ","$53,690 ","$40,818 ",967,106,11.0%
Brighton Heights,2,"7,247","5,597",9.9%,51.6%,13.1%,18.0%,7.4%,"$34,466 ","$39,694 ","$45,785 ","$43,267 ","8,366","1,780",21.3%
Brookline,5,"13,214","10,716",8.9%,57.5%,11.4%,16.2%,6.0%,"$38,096 ","$45,691 ","$50,606 ","$49,803 ","14,454","1,692",11.7%
California-Kirkbride,3,761,416,8.9%,72.4%,2.4%,16.3%,0.0%,"$23,750 ","$26,351 ","$31,550 ","$28,723 ",912,572,62.7%
Carrick,5,"10,113","7,615",16.6%,58.7%,10.2%,10.1%,4.4%,"$29,721 ","$37,563 ","$39,481 ","$40,943 ","10,435","1,546",14.8%
Central Business District,16,"3,629","2,163",10.9%,44.9%,9.4%,16.1%,18.7%,"$20,500 ","$37,475 ","$27,232 ","$40,848 ","2,405",692,28.8%
Central Lawrenceville,13,"4,482","3,821",16.7%,55.4%,7.8%,16.2%,3.9%,"$21,851 ","$31,816 ","$29,026 ","$34,679 ","4,561","1,001",21.9%
Central Northside,3,"2,923","2,248",11.9%,46.3%,8.0%,25.2%,8.6%,"$23,920 ","$33,004 ","$31,775 ","$35,974 ","2,824",694,24.6%
Central Oakland,14,"6,086","1,075",23.6%,39.5%,3.4%,14.9%,18.5%,"$14,888 ","$16,717 ","$19,777 ","$18,222 ","4,472","2,897",64.8%
Chartiers City,4,477,330,15.8%,47.0%,19.7%,10.6%,7.0%,"$31,806 ","$40,125 ","$42,251 ","$43,736 ",418,22,5.3%
Chateau,3,11,0,N/A,N/A,N/A,N/A,N/A,"$7,440 ",$0 ,"$9,883 ",$0 ,92,92,100.0%
Crafton Heights,4,"3,814","2,731",17.5%,62.8%,9.6%,9.4%,0.7%,"$35,625 ","$39,288 ","$47,324 ","$42,824 ","3,837",630,16.4%
