OBJECTID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT
1,177,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
2,178,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
3,180,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
4,274,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
5,350,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
6,357,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
7,445,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
8,508,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
9,521,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
10,528,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
11,531,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
12,545,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
13,546,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
14,547,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
15,549,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
16,728,AE, ,T,735,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
17,735,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
18,736,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
19,774,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
20,786,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
21,787,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
22,792,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
23,837,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
24,841,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
25,918,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
26,926,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
