FID,MSLINK,LEG_DISTRI,H_LASTNAME,H_FIRSTNAM,HOME_COUNT,PARTY
1,124,16,"Matzie,",Robert F.,Beaver,D
2,151,19,"Wheatley,","Jake, Jr.",Allegheny,D
3,150,20,"Ravenstahl,",Adam J.,Allegheny,D
4,147,21,"Costa,",Dom J.,Allegheny,D
5,148,23,"Frankel,",Dan B.,Allegheny,D
6,146,24,"Gainey,",Ed,Allegheny,D
7,130,25,"Markosek,",Joseph F.,Allegheny,D
8,139,27,"Deasy,","Daniel J., Jr.",Allegheny,D
9,123,28,"Turzai,",Mike,Allegheny,R
10,142,30,"English,",Harold A.,Allegheny,R
11,131,32,"DeLuca,",Anthony M.,Allegheny,D
12,126,33,"Dermody,",Frank J.,Allegheny,D
13,135,34,"Costa,",Paul,Allegheny,D
14,134,35,"Gergely,",Marc J.,Allegheny,D
15,145,36,"Readshaw,","Harry A., lll",Allegheny,D
16,136,38,"Kortz,","William C., ll",Allegheny,D
17,132,39,"Saccone,",Rick,Allegheny,R
18,143,40,"Maher,",John A.,Allegheny,R
19,140,42,"Miller,",Daniel L.,Allegheny,D
20,137,44,"Mustio,",Mark,Allegheny,R
21,31,45,"Kotik,",Nickolas M.,Allegheny,D
22,2,46,"Ortitay,",Jason A.,Allegheny,R
23,125,54,"Evankovich,",Eli,Westmoreland,R
