Council/Group Name,Statement Category,Financial Item,FY Ending,Value ($000)
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2013,577650
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2014,606948
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2015,631461
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2016,659714
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2017,690795
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2018,713371
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2019,743930
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2020,779542
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2021,803783
Metro,A_Sources of operating funding,"1001_General rates, UAGC, rates penalties",2022,831863
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2013,227929
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2014,237394
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2015,250206
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2016,260327
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2017,268972
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2018,281655
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2019,290873
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2020,302689
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2021,317195
Metro,A_Sources of operating funding,1002_Targeted rates (excluding metered water),2022,327713
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2013,33731
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2014,34399
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2015,35395
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2016,35776
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2017,36642
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2018,38340
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2019,38826
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2020,40106
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2021,41499
Metro,A_Sources of operating funding,1003_Subsidies & grants for operating purposes,2022,42892
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2013,329389
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2014,342015
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2015,351880
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2016,366353
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2017,380709
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2018,390486
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2019,402868
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2020,417296
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2021,431086
Metro,A_Sources of operating funding,"1004_Fees, charges & targeted water rates",2022,446271
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2013,27498
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2014,27523
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2015,27573
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2016,27502
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2017,27407
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2018,27131
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2019,26982
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2020,26854
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2021,26737
Metro,A_Sources of operating funding,1005b_Interest & dividends from investments,2022,26817
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2013,28265
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2014,29153
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2015,29835
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2016,30648
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2017,31709
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2018,32472
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2019,33558
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2020,34725
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2021,35604
Metro,A_Sources of operating funding,"1006_Petrol tax, fines, infringement fees & other",2022,36678
Metro,A_Sources of operating funding,1007_Total operating funding (A),2013,1224464
Metro,A_Sources of operating funding,1007_Total operating funding (A),2014,1277431
Metro,A_Sources of operating funding,1007_Total operating funding (A),2015,1326345
Metro,A_Sources of operating funding,1007_Total operating funding (A),2016,1380318
Metro,A_Sources of operating funding,1007_Total operating funding (A),2017,1436235
Metro,A_Sources of operating funding,1007_Total operating funding (A),2018,1483456
Metro,A_Sources of operating funding,1007_Total operating funding (A),2019,1537036
Metro,A_Sources of operating funding,1007_Total operating funding (A),2020,1601212
Metro,A_Sources of operating funding,1007_Total operating funding (A),2021,1655907
Metro,A_Sources of operating funding,1007_Total operating funding (A),2022,1712232
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2013,831392
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2014,855014
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2015,870267
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2016,890731
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2017,922476
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2018,943047
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2019,978005
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2020,1026952
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2021,1052428
Metro,B_Applications of operating funding,2001_Payments to staff & suppliers,2022,1086453
Metro,B_Applications of operating funding,2002_Finance costs,2013,103050
Metro,B_Applications of operating funding,2002_Finance costs,2014,113462
Metro,B_Applications of operating funding,2002_Finance costs,2015,117646
Metro,B_Applications of operating funding,2002_Finance costs,2016,122419
Metro,B_Applications of operating funding,2002_Finance costs,2017,125906
Metro,B_Applications of operating funding,2002_Finance costs,2018,126912
Metro,B_Applications of operating funding,2002_Finance costs,2019,127995
Metro,B_Applications of operating funding,2002_Finance costs,2020,129728
Metro,B_Applications of operating funding,2002_Finance costs,2021,129275
Metro,B_Applications of operating funding,2002_Finance costs,2022,130454
Metro,B_Applications of operating funding,2004_Other operating funding applications,2013,34992
Metro,B_Applications of operating funding,2004_Other operating funding applications,2014,36482
Metro,B_Applications of operating funding,2004_Other operating funding applications,2015,36445
Metro,B_Applications of operating funding,2004_Other operating funding applications,2016,35433
Metro,B_Applications of operating funding,2004_Other operating funding applications,2017,35381
Metro,B_Applications of operating funding,2004_Other operating funding applications,2018,35629
Metro,B_Applications of operating funding,2004_Other operating funding applications,2019,35389
Metro,B_Applications of operating funding,2004_Other operating funding applications,2020,35653
Metro,B_Applications of operating funding,2004_Other operating funding applications,2021,35943
Metro,B_Applications of operating funding,2004_Other operating funding applications,2022,36229
Metro,B_Applications of operating funding,2005_Total applications of operating funding (B),2013,969433
Metro,B_Applications of operating funding,2005_Total applications of operating funding (B),2014,1004958
Metro,B_Applications of operating funding,2005_Total applications of operating funding (B),2015,1024355
