Quarter Year,Antrim and Newtownabbey,Armagh Banbridge and Craigavon,Belfast,Causeway Coast and Glens,Derry and Strabane,Fermanagh and Omagh,Lisburn and Castlereagh,Mid and East Antrim,Mid Ulster,Newry Mourne and Down,North Down and Ards,Total new dwelling completions
Q2 2015,79,191,124,123,81,79,184,99,149,102,83,1294
Q3 2015,118,211,119,117,81,68,151,92,146,139,109,1351
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
