Play area name,Facility,Address,Neighborhood,Dedicated Park,AKA Name,Spring Rider,Modular 2-5,Modular 5-12,Modular 2-12,Swing Frame,Climber,Whirl,Slide (Stand Alone),Type of Safety Surface,Swing JR,Swing Baby,,,,,,,,,
Able Long Parklet,ABLE LONG PARKLET,Coast & Gagwin St.,Beechview,Western,,,1,1,,,,,,Pour in Place,,,,,,,,,,,
"Albert ""Turk"" Graham Parklet","ALBERT ""TURK"" GRAHAM PARKLET",Foreside & Vine St.,Crawford Roberts,Schenley,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Sue Murray,ALLEGHENY COMMONS PARK,Ceadar Ave,Allegheny Center,State,,3,,1,,X,1,,,Engineered Wood Fiber,4,0,,,,,,,,,
M. L. King,ALLEGHENY COMMONS PARK,West North Ave.,Allegheny Center,State,,,1,1,,X,,,,Pour in Place / Sand,8,2,,,,,,,,,
North Ave,ALLEGHENY COMMONS PARK,West North Ave.,Allegheny Center,State,,,1,1,,X,,,,SofSurfaces,4,2,,,,,,,,,
Deer Pit,ALLEGHENY COMMONS PARK,West Ohio St.,Allegheny Center,State,,,1,1,,X,,,,Tiles,2,2,,,,,,,,,
Alpine Parklet,ALPINE PARKLET,Alpine Ave,Central Northside,Northern,,,,1,,,,,,Pour in Place,,,,,,,,,,,
Alton,ALTON PLAYGROUND,Bayonne & Andick St.,Beechview,Western,,,,,1,X,1,,,SofSurfaces,2,2,,,,,,,,,
Ammon,AMMON PLAYGROUND,Bedford Ave.,Bedford Dwellings,Schenley,,,1,1,,X,,,,Tiles,4,2,,,,,,,,,
Arlington,ARLINGTON PLAYGROUND,Fernleaf & Salisbury St.,Southside Slopes,Southern,,,1,1,,X,,,,Pour in Place,3,3,,,,,,,,,
Armstrong,ARMSTRONG PLAYGROUND,12th & Sarah St.,Southside Flats,Southern,,,1,1,,X,,,,Greenpark Breakfall,2,2,,,,,,,,,
Arsenal,ARSENAL PARK & SCHOOL,40th & Buttler St.,Lower Lawrenceville,Northeast,,1,1,1,,X,,,,SofSurfaces,4,4,,,,,,,,,
Banksville Park,BANKSVILLE PARK,Crane Ave.,Banksville,Western,,,1,1,,X,,1,,SofSurfaces,4,2,,,,,,,,,
Banksville School,BANKSVILLE SCHOOL,Carnahan Rd.,Banksville,Western,,,,,1,X,,,,Pour in Place,4,2,,,,,,,,,
Baxter,BAXTER PARKLET,Baxter St. & Frankstown Ave.,Homewood North,Eastern,,,1,1,,X,,,,SofSurfaces With T strips / Pour in Place (hill side),2,2,,,,,,,,,
Blair,BLAIR ST. PARKLET,5230 Blair St.,Hazelwood,Schenley,,,1,1,,,,,,Tiles,,,,,,,,,,,
Bloomfield,BLOOMFIELD PLAYGROUND,408 Ella St.,Bloomfield,Northeast,,3,1,1,,X,,,,"Greenpark Breakfall (Swings, Spring Toys), Tiles (2-5)",2,2,,,,,,,,,
Bon Air,BON AIR TOT LOT,Calle & Conniston St.,Bon Air,Southern,,,1,1,,X,,,,SofSurfaces,4,2,,,,,,,,,
Boundary,BOUNDARY ST. TOT LOT,Boundary St.,Central Oakland,Schenley,,,1,1,,X,,,,Tiles,4,2,,,,,,,,,
Brighton Heights,BRIGHTON HEIGHTS PARK,Benton Ave.,Brighton Heights,Northern,,,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Brookline,BROOKLINE MEMORIAL PARK,Briening St.,Brookline,Southern,,,1,1,,X,,,,Pour in Place with T strips,4,4,,,,,,,,,
Bud Hammer,BUD HAMMER PLAYGROUND,Bigelow & Bristol St.,Hazelwood,Schenley,,,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Burgwin,BURGWIN PLAYGROUND,Johnston & Mansion St.,Hazelwood,Schenley,,,1,1,,X,,,,Greenpark Breakfall,2,2,,,,,,,,,
Catalano,CATALANO PARKLET,Spring Garden Ave. & High St.,Spring Garden,Northern,,,1,1,,X,,,,Greenpark Breakfall,2,2,,,,,,,,,
Chadwick,CHADWICK RECREATION CENTER,Oberlin & Mingo St.,Lincoln-Lemington-Belmar,Eastern,,1,1,1,,X,,,,SofSurfaces,4,2,,,,,,,,,
Chartiers,CHARTIERS PLAYGROUND,Chartiers Ave. & Middletown Rd.,Windgap,Western,,,1,1,,X,,1,,SofSurfaces,4,2,,,,,,,,,
Cliffside,CLIFFSIDE PARKLET,Cliff & Cassatt St.,Crawford Roberts,Schenley,,,1,1,,X,,,,Tiles,,,,,,,,,,,
Cowley,COWLEY PLAYGROUND,1200 Gorttman,Troy Hill,Northern,,,1,1,,X,,,,Tiles,2,0,,,,,,,,,
Crafton Heights,CRAFTON HEIGHTS TOT LOT,Crotzer Ave. & Preston St.,Westwood,Western,,,,,,X,,,,Pour in Place,4,2,,,,,,,,,
Cross/Strauss,CROSS AND STRAUSS-PARKLET,Cross & Strauss St.,Perry South,Northern,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Dallas,DALLAS PARKLET,Frankstown Ave. & North Dallas Ave.,Homewood West,Eastern,,,1,1,,X,,1,,SofSurfaces / Pour in Place on hillside,4,2,,,,,,,,,
Davis,DAVIS PARKLET,Hobart St.,Squirrel Hill South,Eastern,,1,1,1,,X,,,,SofSurfaces,4,2,,,,,,,,,
Denny Parklet,DENNY PARKLET,Liberty Ave & 30th St.,Strip District,State,,,,,,,,,,Pour in Place,,,,,,,,,,,
Dinan,DINAN PLAYGROUND,Hawthorn & Farmington St.,Stanton Heights,Northeast,,,1,1,,X,,,,SofSurfaces,4,2,,,,,,,,,
Dunbar,DUNBAR PLAYGROUND,Clairhaven St.,Crafton Heights,Western,,,,,,X,,,,Pour in Place,7,2,,,,,,,,,
Duncan,DUNCAN PARKLET,Duncan & 54th St.,Upper Lawrenceville,Northeast,,,,,,X,2,,,Pour in Place,3,3,,,,,,,,,
East Carnegie,EAST CARNEGIE PARKLET,Idlewood Ave.,East Carnegie,Western,,,1,1,,X,,,,SofSurfaces,2,2,,,,,,,,,
Eileen McCoy,EILEEN McCOY PARKLET,Shalar & Green leaf St.,Duquesne Heights,Western,Eileen McCoy,2,1,1,,X,,,,Tiles except Pour in Place at srpay pole,4,2,,,,,,,,,
Eleanor,ELEANOR ST. PARKLET,Sierra & Eleanor St.,Southside Slopes,Southern,,,1,1,,X,,,,Greenpark Breakfall,2,2,,,,,,,,,
Enright,ENRIGHT PARKLET,Amber St.,East Liberty,Northeast,,,,1,,Two sets,1,,,"Tiles (swings), Greenpark Breakfall (5-12)",4,4,,,,,,,,,
Esplen,ESPLEN TOT LOT,Esplen St.,Esplen,Western,,,,,1,X,,,,Pour in Place with T strips,2,2,,,,,,,,,
Fairywood,FAIRYWOOD PLAYGROUND,Broadhead Fording Rd.,Fairywood,Western,,,,1,,X,,,,"Pour in Place( 5-12), Tiles (swings)",4,2,,,,,,,,,
Faison,FAISON SCHOOL,Conemaugh St.,East Hills,Eastern,,,,1,,X,,,,Pour in Place,4,0,,,,,,,,,
Fifty-Seventh,FIFTY-SEVENTH ST PLAYGROUND,57th & Butler St.,Upper Lawrenceville,Northeast,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Fineview,FINEVIEW PLAYGROUND,Edinvale & Lanark St.,Fineview,Northern,,,1,1,,X,,,,Greenpark Breakfall,2,2,,,,,,,,,
Fort Pitt,FORT PITT PLAYGROUND,Hillcrest St.,Garfield,Northeast,,1,1,1,,,,1,,Engineered Wood Fiber,,,,,,,,,,,
Fort Pitt (School Court Yard),FORT PITT PLAYGROUND,,,Northeast,,,,,,,,,,Engineered Wood Fiber,0,0,,,,,,,,,
Four Mile Run,FOUR MILE RUN PLAYGROUND,Four Mile Run Rd. & Boundary St.,Greenfield,Schenley,,,,,,X,,,,Pour in Place,3,3,,,,,,,,,
Frazier,FRAZIER PLAYGROUND,Frazier & Dawson St.,South Oakland,Schenley,,,1,1,,X,,,,Greenpark Breakfall,2,2,,,,,,,,,
Beechwood,FRICK PARK,Beechwood Blvd & English Lane.,Squirrel Hill South,Eastern,,,1,1,1,X,,,1,SofSurfaces / Pour in Place (hill side),6,4,,,,,,,,,
Forbes & Braddock,FRICK PARK,Forbes & Braddock Ave.,Squirrel Hill South,Eastern,,7,1,1,,X,,1,,SofSuraces (swings / whirl) / Engineered Wood Fiber / Pour in Place,6,6,,,,,,,,,
Garland,GARLAND PARKLET,Penn Circle West.,East Liberty,Northeast,,2,1,1,,X,,,,Pour in Place,4,4,,,,,,,,,
Grandview,GRANDVIEW PARK/ SCHOOL,Bailey Ave.,Allentown,Southern,,,1,1,,X,,,,Pour in Place,,,,,,,,,,,
Granville,GRANVILLE PARKLET,Enoch St.,Crawford Roberts,Schenley,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Hays,HAYS PARKLET,Hilburn & Mifflin St.,Hays,Southern,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Herschel,HERSCHEL PLAYGROUND,Herschel St.,Elliott,Western,,,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Heth,HETH'S PLAYGROUND,Heth & Hampton St.,Morningside,Northeast,,,,1,,X,,,,SofSurfaces,4,2,,,,,,,,,
Farmhouse,HIGHLAND PARK,Farm House Dr.,Highland Park,Northeast,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Lake / Pool Grove,HIGHLAND PARK,Lake Dr.,Highland Park,Northeast,,,,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Rhododendron,HIGHLAND PARK,Lake Dr.,Highland Park,Northeast,,,,1,,X,,,1,Pour in Place,4,2,,,,,,,,,
Super Playground,HIGHLAND PARK,Reservior Dr.,Highland Park,Northeast,,,,,1,X,,,,Engineered Wood Fiber,6,2,,,,,,,,,
Jefferson,JEFFERSON PLAYGROUND,605 Rednap St.,Central Northside,Northern,,,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Joe Natoli,JOE NATOLI PLAYGROUND,President & Antietam St.,Morningside,Northeast,,,1,1,,X,,,,Pour in Place,4,4,,,,,,,,,
Kennard,KENNARD PLAYGROUND,Reed & Kirkpatrick St.,Terrace Village,Schenley,,1,,1,,X,,,,SofSurfaces with T strips (5-12) SofSurfaces (swings),4,2,,,,,,,,,
Larimer,LARIMER PLAYGROUND,Larimer Ave. & Shetland St.,Larimer,Northeast,,3,1,1,,,,,,Tiles,0,0,,,,,,,,,
Lawn/Ophelia,LAWN & OPHELIA PLAYGROUND,Law & Ophelia St.,South Oakland,Schenley,,,,,1,X,,,,Tiles,2,2,,,,,,,,,
Leolyn,LEOLYN PARKLET,Leolyn & E. Cherryhill St.,Carrick,Southern,,,1,1,,X,,,,Tiles (swings) Grenpark Breakfall (5-12),4,2,,,,,,,,,
