Field Name,Data Type and Length,Field Description,Example 1,Example 2,Additional Data Details
PARID,A30,Parcel Identification Number,0023S00162000000,1468J00244000000,A 16 character unique identifier for the parcel.
PROPERTYHOUSENUM,NBR(10),Property Location House Number,514,69,House Number for the  physical location of property; may be zero or blank.
PROPERTYFRACTION,A6,Property Location House Number Fraction,,-73,"Continued House Number information for the  physical location of property; such as 1/2, the house number ending range, or a letter. "
PROPERTYADDRESS,A80,Property Location Street Name,E OHIO ST,STROUSS RD,"Street name for the  physical location of the property, including directional indicators and suffixes."
PROPERTYCITY,A50,Property Location City Name,PITTSBURGH,IMPERIAL,City where the property is physically located.
PROPERTYSTATE,A50,Property Location State Name,PA,PA,State where the property is physically located.
PROPERTYUNIT,A30,Property Location Unit Number,,,"Unit numbers for the property, such as condo units (e.g. 1, 3C,  115A, B13, etc….)."
PROPERTYZIP,A10,"Property Location Zip code, first 5 digits",15212,15126,Zip Code where the property is physically located.
MUNICODE,A5,Municipality Code (Tax District),123,910,Municipality number associated with specified parcel.
MUNIDESC,A50,Municipality Name,23rd Ward - PITTSBURGH,Findlay,Municipality name associated with specified parcel.
SCHOOLCODE,A30,School District Code,47,43,School district number associated with specified parcel.
SCHOOLDESC,A50,School District Name,City Of Pittsburgh,West Allegheny,School district name associated with specified parcel.
LEGAL1,A60,Legal Description 1,LOT 14.72X110.13 E OHIO ST BET JAMES & MIDDLE S,74 ALD,Line 1 of parcel legal description from the Deed.
LEGAL2,A60,Legal Description 2,T,43.5656 ALD,Line 2 continuation of parcel legal description from the Deed.
LEGAL3,A60,Legal Description 3,3 STY BRK HSE 514                      ,94 ALD,Line 3 continuation of parcel legal description from the Deed.
NEIGHCODE,A8,Neighborhood Number,51C51,91004,"The ID number for the valuation neighborhood containing this parcel.   Valuation neighborhoods were delineated as part of the 2013 reassessment.  A valuation neighborhood is a geographic area exhibiting a high degree of homogeneity in economic amenities, land use, economic trends, and property characteristics such as quality, age, and condition. "
NEIGHDESC,A50,Neighborhood Name,PITTSBURGH URBAN,91004,"The name associated with the valuation neighborhood number, if a name exists. "
TAXCODE,A1,Tax Status,E,T,"Tax Status indicates whether or not real estate taxes apply to a parcel's assessment.   Parcels may be Taxable (must pay local taxes), Exempt (pay no taxes), or PURTA [Public Utility Realty Tax Act (if taxes are paid, they are paid into a state fund rather than to local taxing bodies)].
Values:  'E' , 'T' or 'P' ."
TAXDESC,A50,Tax Status Description,10 - Exempt,20 - Taxable,"Description for Tax Status codes:  '10 - Exempt', '20 - Taxable' or '12 - Public Utility Realty Tax - PURTA'."
TAXSUBCODE,A1,Tax Sub Code  (applies to PURTA only),,,Tax Sub Code applies only to parcels having the PURTA tax status.  Public Utilities may not have to pay taxes (E-Exempt) or they may have to pay taxes into a state fund (T-Taxable). 
TAXSUBCODE_DESC,A50,Tax Sub Code Description,,,"Values:  E - 'PURTA - Exempt',  T - 'PURTA -Taxable' or null."
OWNERCODE,A3,Owner Type Code 1,20,11,Numeric code categorizes owner as individuals ('REGULAR' ) vs corporations ('CORPORATION').
OWNERDESC,A50,Owner Description,CORPORATION,REGULAR-ETAL,Descriptions for numeric owner codes.  [e.g. individuals ('REGULAR' ) vs corporations ('CORPORATION')]
CLASS,A2,Class,C,R,"Broad self-explanatory categories for describing the  general use of a parcel.
Categories:  R - RESIDENTIAL, U - UTILITIES, I - INDUSTRIAL, 
C - COMMERCIAL, O - OTHER, G - GOVERNMENT, F - AGRICULTURAL."
CLASSDESC,A50,Class Description,COMMERCIAL,RESIDENTIAL,"Broad self-explanatory categories for describing the  general use of a parcel.
Categories:  R - RESIDENTIAL, U - UTILITIES, I - INDUSTRIAL, 
C - COMMERCIAL, O - OTHER, G - GOVERNMENT, F - AGRICULTURAL."
USECODE,A4,Land Use Code,404,20,"More detailed than class, these categories further describe the primary use of the parcel.  There are about 200 self-explanatory categories."
USEDESC,A50,Land Use Code Description ,RETL/APT'S OVER,TWO FAMILY,"More detailed than class, these categories further describe the primary use of the parcel.  There are about 200 self-explanatory categories."
LOTAREA,number,Sum of Area of Land,1621,9215797,Total square footage of land.
HOMESTEADFLAG,A6,Homestead Flag,,HOM,A property owner may apply for a homestead reduction on their primary residence.  If granted (indicated by 'HOM') the owner will receive a standard reduction on their assessment for County taxes under Act 50.  They may also receive a variable reduction on their School taxes under Act 1.
CLEANGREEN,A3,Clean and Green Flag,,Y,This field indicates that a parcel is receiving a reduction in their assessment due to the state’s Clean and Green preferential assessment program.
FARMSTEADFLAG,A6,Farmstead Flag,,,A property owner may apply for a farmstead reduction if their primary residence is a farm with at least 10 contiguous acres.  If granted (indicated by 'FRM') the owner will receive a standard reduction on their assessment for County taxes under Act 50.  
ABATEMENTFLAG,A6,Abatement Flag,,Y,"This field indicates that a parcel is receiving a reduction in their County assessment due to a County-approved incentive program.   Specific programs and amounts vary according to the County resolutions and ordinances in effect at the time.  Consult the Office of Property Assessments web page to see the current types of Abatements.

Abatements have been available to residential property owners as incentives for new construction and for building improvements.  Abatements for commercial properties have been available for local economic revitalization programs.

Values:  'Y' or null."
RECORDDATE,A10,Record Date,10/26/2012,12/23/2011,"Date the sale was recorded 
in the Department of Real Estate (mm/dd/yyyy)."
SALEDATE,A10,Sale Date,10/26/2012,12/23/2011,Date the sale occurred  (mm/dd/yyyy).
SALEPRICE,number,Sale Price,12129,1,"Amount paid for the sale 
(also called the consideration)."
SALECODE,A2,Sale Validity Code,2,3,"A subjective categorization (code) as to whether or not the sale price was representative of current market value. These categorizations are subject to change as sales are reviewed by the Office of Property Assessments or during a reassessment. See further details in the Sale Validation Codes Details tab of the ""Property Sale Transaction Data Dictionary"".  "
SALEDESC,A50,Sale Validity Code Description,CITY TREASURER,LOVE&AFFECTION,"A subjective categorization (description) as to whether or not the sale price was representative of current market value. These categorizations are subject to change as sales are reviewed by the Office of Property Assessments or during a reassessment. See further details in the Sale Validation Codes Details tab of the ""Property Sale Transaction Data Dictionary"".  "
DEEDBOOK,A8,Book Number,TR13,14772,"Cross-reference to the physical book number 
where the deed is on file
in the Department of Real Estate."
DEEDPAGE,A8,Page Number,475,341,"Page within the specified deed book 
corresponding to the first page of 
this physical deed."
PREVSALEDATE,A10,Previous Sale Date,11/14/1980,2/17/2004,Date the previous sale occurred  (mm/dd/yyyy).
PREVSALEPRICE,number,Previous Sale Price,12500,1,Amount paid for the previous sale.
PREVSALEDATE2,A10,Previous Sale Date 2,,9/26/1984,Date the 2nd previous sale occurred  (mm/dd/yyyy).
PREVSALEPRICE2,number,Previous Sale Price 2,,76600,Amount paid for the 2nd previous sale.
CHANGENOTICEADDRESS1,A100,Change Notice Full Address 1,414   GRANT ST  RM 200,69   STROUSS RD   ,Address of owner of the property.
CHANGENOTICEADDRESS2,A100,Change Notice Full Address 2, CITY-COUNTY BUILDING ,,Address of owner of the property.
CHANGENOTICEADDRESS3,A100,Change Notice Full Address 3,PITTSBURGH PA  ,IMPERIAL PA  ,Address of owner of the property.
CHANGENOTICEADDRESS4,A100,Change Notice Full Address 4,15219,15126,Address of owner of the property.
COUNTYBUILDING,number,County Assessed Value for Building ,"81,700","139,300",The assessed property value of the building for county tax purposes.   This amount reflects the remaining assessment after any preferential assessments (such as clean & green) or county reductions (such as homesteads or other abatements) have been deducted from the base year market values.
COUNTYLAND,number,County Assessed Value for Land,"53,000","114,700",The assessed property value of the land for county tax purposes.   This amount reflects the remaining assessment after any preferential assessments (such as clean & green) or county reductions (such as homesteads or other abatements) have been deducted from the base year market values.
COUNTYTOTAL,number,County Assessed Value Total,"134,700","254,000",The assessed property value (land and building together) for county tax purposes.   This amount reflects the remaining assessment after any preferential assessments (such as clean & green) or county reductions (such as homesteads or other abatements) have been deducted from the base year market values.
COUNTYEXEMPTBLDG,number,County Exempt Building Amount,0,"150,000","The amount of assessment reduction granted on a building by the County (for county taxes only) under incentive programs for new construction, building improvements or local economic revitalization."
