Critical Care Services,Altnagelvin ,Antrim ,BCH,Causeway ,Craigavon Area ,Downe ,Daisy Hill,Greenpark,Lagan Valley ,Mater,Mid-Ulster ,Musgrave Park ,Royal Victoria ,South West Acute,Ulster ,Total,,
Coronary Intensive Care,,,,,,,,,,,,,"4,627",,,"4,627",,
High Dependency Unit,894,,"1,373",,,,"2,221",,,,,"2,080","2,316",585,,"9,469",,
Intensive Care Units,"1,554","2,204","1,052","1,232","2,445",,,,,"1,525",,,"6,054",509,"3,030","19,605",,
Neonatal Care Services,"3,591","4,490",,,"3,832",,"1,145",,,,,,"7,368","1,210","3,285","24,921",,
Paediatric Intensive Care,,,,,,,,,,,,,"2,593",,,"2,593",,
Renal Dialysis,Altnagelvin,Antrim,BCH,Causeway,Craigavon,Daisy Hill ,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,South Tyrone,Royal,Tyrone County,Ulster,Total,,
Inpatients,,28,"1,441",,,279,,,,,,,"1,425",,160,"3,333",,
Daycases,"9,523","18,390","29,065",,,"13,600",,,,,,,585,"9,993","15,585","96,741",,
Outpatients,,,,,,,,,,,,,,,, -   ,,
Rehabilitation Services,Altnagelvin,Antrim,BCH,Causeway,Daisy Hill ,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Mullinure,Royal,South West Acute,Tyrone County,Ulster,Whiteabbey,Total
Stroke - Children,,,,,,,,,,,,,,,,,, -   
Stroke - Adults,,,44,189,,,,,,,"8,935",,16,,,,,"9,184"
Brain Injury - Children,,,,,,,,,,,,,,,,,, -   
Brain Injury - Adults,,,,,,,"12,149",,,,,,,,,,,"12,149"
Other Neurological - Children,,,,,,,,,,,,,,,,,, -   
Other Neurological - Adults,,,,81,,,,,,,,,,,,,,81
Elderly,,,"8,632","1,067",,,"15,805",,,,,,244,196,"9,160",,"13,257","48,361"
Spinal Injuries,,,,24,,,"6,245",,,,,,,,,,,"6,269"
Other,,,,420,,,,,,,,,,,,,,420
