FE College,2010/11,2011/12,2012/13,*2013/14
Belfast Metropolitan College,30421,27679,28910,26462
Northern Regional College,15760,16451,15622,14110
North West Regional College,17421,16829,16559,14088
South Eastern Regional College,21243,22069,26118,24341
Southern Regional College,23194,24222,25327,21569
South West College,14744,17187,17298,16452
Total Final Year enrolments,122783,124437,129834,117022
Total Regulated enrolments,155425,153076,156806,141778
Final Year/Regulated (%) ,79.00%,81.30%,82.80%,82.50%
Sources: Further Education Leavers Survey (FELS) and Consolidated Data Return (CDR),,,,
Notes:,,,,
For further details on definitions please refer to the metadata.,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,
