FE College,Mode of Attendance,2009/10,2010/11,2011/12,2012/13,*2013/14
Belfast Metropolitan College,Full-time,6525,5651,5375,5411,4922
Belfast Metropolitan College,Part-time,36042,29566,26719,28748,26366
Belfast Metropolitan College,Total,42567,35217,32094,34159,31288
Northern Regional College,Full-time,4219,4529,4118,4228,3856
Northern Regional College,Part-time,17435,15748,16892,15260,14067
Northern Regional College,Total,21654,20277,21010,19488,17923
North West Regional College,Full-time,4777,4848,4928,4643,4291
North West Regional College,Part-time,15464,16103,15045,14449,12397
North West Regional College,Total,20241,20951,19973,19092,16688
South Eastern Regional College,Full-time,4954,4849,4826,5423,4789
South Eastern Regional College,Part-time,21090,21774,22571,26689,24083
South Eastern Regional College,Total,26044,26623,27397,32112,28872
Southern Regional College,Full-time,5554,5326,5438,5120,4684
Southern Regional College,Part-time,27285,26326,25256,24926,21590
Southern Regional College,Total,32839,31652,30694,30046,26274
South West College,Full-time,2870,3212,3218,3110,3248
South West College,Part-time,17135,17493,18690,18799,17485
South West College,Total,20005,20705,21908,21909,20733
NI Total,Full-time,28899,28415,27903,27935,25790
NI Total,Part-time,134451,127010,125173,128871,115988
NI Total,Total,163350,155425,153076,156806,141778
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
