Age band,Status,2009/10,2010/11,2011/12,2012/13,*2013/14
19 & under,Non-regulated,8402,5663,5916,6450,9105
19 & under,Regulated,82499,80891,82165,88577,82236
19 & under,Total,90901,86554,88081,95027,91341
20-24,Non-regulated,2361,2311,2358,3316,3540
20-24,Regulated,20858,19586,20227,21050,18984
20-24,Total,23219,21897,22585,24366,22524
25 & over,Non-regulated,25282,22984,22980,23697,25997
25 & over,Regulated,59816,54839,50612,47130,40514
25 & over,Total,85098,77823,73592,70827,66511
Not known,Non-regulated,182,87,90,75,405
Not known,Regulated,177,109,72,49,44
Not known,Total,359,196,162,124,449
Total,Non-regulated,36227,31045,31344,33538,39047
Total,Regulated,163350,155425,153076,156806,141778
Total,Total,199577,186470,184420,190344,180825
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
