FE College,Disability,2009/10,2010/11,2011/12,2012/13,2013/14
Belfast Metropolitan College,No,49129,40145,35671,36241,32695
Belfast Metropolitan College,Yes,5337,3026,2892,3709,4360
Belfast Metropolitan College,Total,54466,43171,38563,39950,37055
Northern Regional College,No,22710,21997,23143,22199,21740
Northern Regional College,Yes,2976,3471,3718,3086,2817
Northern Regional College,Total,25686,25468,26861,25285,24557
North West Regional College,No,21618,22436,22080,21577,20065
North West Regional College,Yes,3555,3636,3582,3376,3102
North West Regional College,Total,25173,26072,25662,24953,23167
South Eastern Regional College,No,25579,25604,25846,30728,29177
South Eastern Regional College,Yes,3761,4671,5421,6584,6655
South Eastern Regional College,Total,29340,30275,31267,37312,35832
Southern Regional College,No,36366,33793,32487,31817,28981
Southern Regional College,Yes,3882,3288,3005,3619,4094
Southern Regional College,Total,40248,37081,35492,35436,33075
South West College,No,21140,20695,22480,22879,22006
South West College,Yes,3524,3708,4095,4529,5133
South West College,Total,24664,24403,26575,27408,27139
NI Total,No,176542,164670,161707,165441,154664
NI Total,Yes,23035,21800,22713,24903,26161
NI Total,Total,199577,186470,184420,190344,180825
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
,,,,,,
