Neighborhood,Sector #,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),# Sets of Steps,# Step Treads,Res. Permit Parking Area(s),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Allegheny Center,3,933,2.23,4.14,19.7,0,0,None,386,27.7%,9.8%,16.8%,0.0%,0.0%,0.0%,43.8%,0.0%,1.8%
Allegheny West,3,462,1.47,4.87,34.5,0,0,G,151,23.2%,20.5%,15.9%,14.6%,0.0%,0.0%,25.8%,0.0%,0.0%
Allentown,6,"2,500",1.65,12.33,41.8,12,474,None,824,47.0%,10.9%,38.0%,0.0%,0.8%,0.0%,0.0%,1.5%,1.8%
Arlington,7,"1,869",0.86,10.73,22.8,13,428,None,673,74.0%,7.3%,13.5%,0.0%,0.0%,0.0%,1.9%,0.9%,2.4%
Arlington Heights,7,244,0.00,1.09,8.2,0,0,None,72,11.1%,0.0%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Banksville,5,"4,144",5.99,18.33,18.9,4,322,None,"2,506",81.5%,5.9%,11.7%,0.0%,0.0%,0.0%,0.7%,0.2%,0.0%
Bedford Dwellings,15,"1,202",0.97,4.48,25.1,3,234,None,305,36.7%,16.7%,33.8%,0.0%,0.0%,0.0%,12.8%,0.0%,0.0%
Beechview,5,"7,974",6.42,30.75,21.1,39,"2,494","BB, T","3,909",55.1%,15.3%,21.2%,0.0%,0.0%,0.6%,5.3%,0.0%,2.6%
Beltzhoover,6,"1,925",3.32,17.26,41.0,16,595,None,706,45.8%,8.1%,43.1%,0.0%,0.0%,0.0%,0.0%,0.0%,3.1%
Bloomfield,12,"8,442",3.80,31.74,45.2,3,131,"H, R","5,117",42.0%,9.3%,20.0%,0.0%,0.8%,6.4%,18.8%,0.0%,2.6%
Bluff,15,"6,600",9.08,16.48,50.4,2,188,P,"1,379",25.5%,4.0%,23.1%,0.0%,0.0%,0.0%,43.1%,0.0%,4.4%
Bon Air,6,808,1.67,9.17,29.3,1,57,None,438,60.3%,20.8%,13.5%,0.0%,0.0%,0.0%,3.7%,0.0%,1.8%
Brighton Heights,2,"7,247",4.19,29.52,26.4,10,477,None,"3,968",63.1%,11.5%,17.9%,0.0%,0.5%,0.0%,3.2%,1.1%,2.7%
Brookline,5,"13,214",9.15,56.88,27.3,25,"1,797",None,"7,067",73.1%,9.7%,12.0%,0.4%,0.8%,0.2%,2.8%,0.6%,0.5%
California-Kirkbride,3,761,1.58,6.38,29.4,9,748,None,227,45.4%,0.0%,41.0%,0.0%,0.0%,0.0%,13.7%,0.0%,0.0%
Carrick,5,"10,113",6.56,45.98,27.5,20,"1,193",None,"4,783",62.1%,10.3%,19.6%,0.0%,0.3%,0.0%,4.7%,0.0%,3.1%
Central Business District,16,"3,629",13.55,30.84,48.2,0,0,None,"1,566",24.8%,5.4%,21.1%,0.0%,0.0%,0.0%,42.0%,0.0%,6.8%
Central Lawrenceville,13,"4,482",2.53,18.26,19.0,1,9,A,"2,111",51.8%,20.2%,17.4%,0.0%,0.0%,1.5%,7.7%,0.0%,1.4%
Central Northside,3,"2,923",1.81,12.18,47.0,4,395,L,"1,514",47.9%,8.1%,19.7%,0.0%,0.0%,2.0%,18.1%,0.0%,4.2%
Central Oakland,14,"6,086",1.12,9.50,33.8,7,462,"B, D","2,509",16.3%,6.9%,13.3%,0.0%,0.0%,0.0%,62.4%,0.0%,1.2%
Chartiers City,4,477,0.35,4.32,32.8,1,81,None,178,77.5%,7.9%,14.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chateau,3,11,5.72,13.44,35.1,0,0,None,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crafton Heights,4,"3,814",3.04,19.33,25.6,9,632,None,"1,757",67.7%,12.3%,16.8%,0.0%,0.7%,0.0%,0.8%,0.7%,0.9%
Crawford-Roberts,15,"2,256",1.57,11.09,43.0,4,197,W,635,65.4%,9.6%,16.5%,2.0%,0.0%,0.0%,6.5%,0.0%,0.0%
Duquesne Heights,6,"2,425",4.08,14.05,22.6,12,529,None,"1,223",55.9%,16.3%,14.1%,0.0%,0.0%,0.0%,2.9%,1.7%,9.2%
East Allegheny,3,"2,136",7.59,16.94,71.8,4,487,F,"1,195",44.3%,12.2%,22.9%,0.0%,0.0%,0.9%,13.6%,0.8%,5.3%
East Carnegie,4,570,0.77,5.55,12.9,0,0,None,86,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
East Hills,11,"3,169",1.68,14.62,27.0,5,738,None,802,46.0%,10.6%,36.2%,0.0%,0.0%,0.0%,2.9%,3.4%,1.0%
East Liberty,12,"5,869",4.59,21.13,36.4,0,0,None,"2,377",47.9%,10.1%,23.8%,0.0%,0.0%,0.0%,15.9%,0.9%,1.4%
Elliott,4,"2,381",4.06,19.04,31.4,19,"1,328",None,949,43.4%,22.7%,27.6%,0.0%,0.0%,0.0%,3.3%,0.0%,3.1%
Esplen,4,301,1.42,4.30,18.7,2,54,None,68,39.7%,44.1%,16.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Fairywood,4,"1,002",1.40,9.11,9.4,0,0,None,116,42.2%,14.7%,6.0%,0.0%,11.2%,0.0%,0.0%,0.0%,25.9%
Fineview,3,"1,285",0.65,8.51,34.0,16,"1,248",None,547,48.3%,5.1%,37.1%,2.6%,0.0%,0.0%,6.9%,0.0%,0.0%
Friendship,12,"1,785",0.57,4.40,41.5,0,0,None,936,35.8%,6.8%,28.5%,0.0%,0.0%,4.9%,20.1%,0.0%,3.8%
Garfield,12,"3,675",1.25,16.47,36.0,13,962,None,"1,472",44.5%,6.5%,27.2%,2.3%,0.0%,1.6%,13.6%,0.0%,4.2%
Glen Hazel,9,716,0.15,2.57,5.6,1,108,None,89,64.0%,0.0%,36.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Greenfield,9,"7,294",3.88,27.81,36.0,23,"1,362",None,"4,363",57.9%,14.2%,14.6%,0.2%,0.0%,3.1%,6.9%,0.4%,2.8%
Hays,8,362,6.45,12.06,6.9,0,0,None,166,81.9%,18.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
