Quarter Year,Detached,SemiDetached,Terrace,Apartment,Total Verified Sales
Q1 2005,809,893,1035,198,2935
Q2 2005,2208,2474,2808,483,7973
Q3 2005,2297,2655,2952,539,8443
Q4 2005,2498,3002,3492,631,9623
Q1 2006,2184,2650,3158,594,8586
Q2 2006,2829,3233,3879,877,10818
Q3 2006,2961,3141,3883,859,10844
Q4 2006,2753,3137,4069,869,10828
Q1 2007,2191,2464,3344,691,8690
Q2 2007,2317,2693,3568,741,9319
Q3 2007,1905,1875,2457,526,6763
Q4 2007,1146,1209,1503,420,4278
Q1 2008,775,877,1109,239,3000
Q2 2008,814,1028,1151,321,3314
Q3 2008,608,684,785,176,2253
Q4 2008,614,729,740,166,2249
Q1 2009,528,669,624,174,1995
Q2 2009,729,1018,847,233,2827
Q3 2009,860,1114,1032,229,3235
Q4 2009,989,1238,1103,254,3584
Q1 2010,639,796,848,221,2504
Q2 2010,738,924,849,185,2696
Q3 2010,705,906,961,134,2706
Q4 2010,824,844,936,208,2812
Q1 2011,654,770,817,159,2400
Q2 2011,761,810,814,233,2618
Q3 2011,961,1025,949,272,3207
Q4 2011,900,987,927,264,3078
Q1 2012,937,971,1017,250,3175
Q2 2012,901,975,990,261,3127
Q3 2012,1120,1130,1033,274,3557
Q4 2012,1175,1147,1178,267,3767
Q1 2013,1025,1072,1064,274,3435
Q2 2013,1193,1196,1227,259,3875
Q3 2013,1335,1277,1274,323,4209
Q4 2013,1602,1572,1455,426,5055
Q1 2014,1481,1406,1378,363,4628
Q2 2014,1664,1655,1530,413,5262
Q3 2014,1742,1742,1571,428,5483
Q4 2014,1851,1829,1673,491,5844
Q1 2015,1406,1444,1369,341,4560
Q2 2015,1612,1667,1472,473,5224
Q3 2015,1827,1909,1544,431,5711
Q4 2015,1807,1953,1734,493,5987
Q1 2016,1633,1639,1820,587,5679
Q2 2016,1273,1328,1200,274,4075
