Disease,Week 1,Week 53,Week 52,Week 51,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,1,1,1,2,2,3,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,1,0,0,0,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,31,8,8,21,31,0,11,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,1,0,0,0,0,0,, ,,,,,,
Food Poisoning,25,22,15,30,25,23,23,, , ,,,,,
Gastroenteritis (< 2years),19,3,1,3,19,3,7,, , ,,,,,
Hepatitis A,2,0,0,0,2,0,0,,, , , ,,,
Hepatitis B,0,0,0,0,0,1,1,, , , , , ,,
Hepatitis Unspecified,0,0,0,1,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,0,0,,, ,,, ,,
Measles,0,0,0,0,0,0,1,, , , , ,,,
Meningococcal Septicaemia,2,0,2,0,2,0,0,,, , , , ,,
Mumps,11,22,6,19,11,3,0,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,1,0,,, ,,,,,
Scarlet Fever,10,0,2,3,10,8,3,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,1,0,2,0,0,1,, , ,,,,,
Tuberculosis (Non Pulmonary),2,0,2,1,2,2,1,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,2,1,2,2,0,0,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,106,61,38,83,106,43,51,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
