Disease,Week 33,Week 32,Week 31,Week 30,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,1,30,41,37,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,1,0,4,5,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,27,33,27,30,1192,1365,1271,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,1,2,1,27,14,4,, ,,,,,,
Food Poisoning,57,41,50,44,1190,1185,1149,, , ,,,,,
Gastroenteritis (< 2years),0,2,3,5,170,262,452,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,4,,, , , ,,,
Hepatitis B,0,0,1,3,69,84,66,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,1,0,2,0,6,3,5,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,2,5,3,,, ,,, ,,
Measles,0,0,0,0,13,12,50,, , , , ,,,
Meningococcal Septicaemia,0,1,0,0,10,16,19,,, , , , ,,
Mumps,0,3,1,6,186,41,629,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,1,0,5,6,9,,, ,,,,,
Scarlet Fever,4,1,0,3,301,524,149,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,0,0,24,47,21,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,1,21,24,25,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,1,10,5,3,65,20,69,, ,  , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,92,93,93,97,3327,3656,3971,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
