Disease,Week 15,Week 14,Week 13,Week 12,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,0,3,19,27,17,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,3,1,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,41,57,33,44,518,686,518,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,0,1,11,2,0,, ,,,,,,
Food Poisoning,17,30,35,23,394,353,361,, ,,,,,,
Gastroenteritis (< 2years),5,3,13,8,93,128,200,,, ,,,,,
Hepatitis A,0,2,1,0,6,2,1,,,, , ,,,
Hepatitis B,1,1,1,4,36,42,29,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,1,0,4,,, ,, ,, ,
Leptospirosis,0,0,0,0,1,0,0,, , , , ,,,
Malaria,0,1,0,0,1,4,3,,, ,,, ,,
Measles,0,1,2,1,8,8,27,, , , , ,,,
Meningococcal Septicaemia,1,0,0,0,9,12,11,,, , , , ,,
Mumps,3,5,4,4,106,16,401,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,1,3,0,6,,, ,,,,,
Scarlet Fever,6,12,13,22,173,276,88,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,0,1,0,15,21,12,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,1,1,13,14,9,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,2,0,0,1,10,7,42,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,77,114,104,113,1420,1601,1731,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,, ,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
